rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
35	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	19	0	0	19	5	1	2	27	23	25	4.679578e-12	7.900000e-02	9.450000e-01	1.401912e-11	7.336806e-09
36	GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	1109	2	0	3	30	0	1	4	35	33	25	5.706958e-08	1.000000e-05	1.749400e-01	1.665967e-11	8.223486e-09
37	ZC3H12A	zinc finger CCCH-type containing 12A	1820	4	0	2	14	4	0	8	26	24	25	3.349330e-12	6.370000e-01	8.900000e-02	1.690603e-11	8.223486e-09
38	FADD	Fas (TNFRSF6)-associated via death domain	631	26	0	0	14	2	1	3	20	15	19	3.420519e-11	8.037000e-01	3.300000e-03	1.706024e-11	8.223486e-09
39	TMSB4X	thymosin beta 4, X-linked	143	0	0	6	49	15	8	15	87	73	43	6.786463e-13	9.300000e-01	8.090000e-01	1.969347e-11	9.249366e-09
40	IRF2BP2	interferon regulatory factor 2 binding protein 2	1770	0	0	16	43	4	0	29	76	56	53	8.873164e-11	4.000000e-03	1	2.031886e-11	9.304513e-09
41	TCL1A	T-cell leukemia/lymphoma 1A	360	12	0	1	11	3	3	1	18	15	16	7.934010e-11	2.200000e-02	2.990000e-01	3.386669e-11	1.513015e-08
42	KLHL6	kelch-like 6 (Drosophila)	1892	6	0	8	59	5	1	0	65	50	44	3.392920e-07	1.000000e-05	8.281300e-01	9.299772e-11	3.985464e-08
43	SPEN	spen homolog, transcriptional regulator (Drosophila)	11051	1	0	7	30	19	0	13	62	51	61	2.261085e-11	1.120000e-01	6.080000e-01	9.356060e-11	3.985464e-08
44	DAZAP1	DAZ associated protein 1	1361	7	0	4	10	8	0	2	20	20	14	4.351778e-07	3.000000e-05	2.395400e-01	1.181962e-10	4.920455e-08
45	CD7	CD7 molecule	735	23	0	0	5	0	0	9	14	13	5	3.001767e-08	1.000000e-05	9.022700e-01	1.221405e-10	4.971662e-08
46	E2F5	E2F transcription factor 5, p130-binding	1071	178	0	1	18	0	1	0	19	19	2	6.965434e-07	1.000000e-05	1	1.859078e-10	7.402770e-08
47	ZC3H18	zinc finger CCCH-type containing 18	2930	8	0	5	9	4	2	11	26	25	19	1.009749e-08	3.000000e-04	9.653200e-01	2.298575e-10	8.958083e-08
48	IKZF3	IKAROS family zinc finger 3 (Aiolos)	1560	21	0	2	23	0	2	1	26	24	18	1.323386e-06	1.000000e-05	3.100000e-04	3.447187e-10	1.315461e-07
49	BRAF	v-raf murine sarcoma viral oncogene homolog B1	2371	18	0	4	25	0	4	0	29	28	19	2.456629e-06	1.000000e-05	9.658000e-02	6.247122e-10	2.335276e-07
50	TET2	tet oncogene family member 2	6134	20	0	2	8	10	0	10	28	26	27	1.335113e-09	4.471000e-01	7.700000e-03	7.190043e-10	2.629368e-07
51	SMO	smoothened homolog (Drosophila)	2408	2	0	4	9	0	1	9	19	19	11	2.897719e-06	1.000000e-05	9.999600e-01	7.320947e-10	2.629368e-07
52	PTPN6	protein tyrosine phosphatase, non-receptor type 6	2165	19	0	3	30	3	4	2	39	27	35	1.481811e-08	1.770000e-02	7.300000e-03	9.268316e-10	3.264764e-07
53	CXCR4	chemokine (C-X-C motif) receptor 4	1090	0	3	4	10	0	7	2	19	18	13	7.233647e-09	3.200000e-03	5.416000e-01	1.302419e-09	4.501210e-07
54	HVCN1	hydrogen voltage-gated channel 1	846	18	0	0	7	4	1	3	15	15	12	4.595002e-09	2.400000e-02	3.900000e-02	1.681633e-09	5.704162e-07
55	CD79B	CD79b molecule, immunoglobulin-associated beta	715	0	0	9	80	2	17	8	107	86	39	1.827213e-05	1.000000e-05	1.000000e-05	4.279892e-09	1.425360e-06
56	SKP1	S-phase kinase-associated protein 1	535	6	0	0	0	0	0	5	5	5	1	1.923221e-05	1.000000e-05	9.511200e-01	4.494922e-09	1.470241e-06
57	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	974	0	0	3	12	12	2	4	30	22	25	1.912645e-09	8.300000e-02	8.510000e-01	5.789694e-09	1.860523e-06
58	OR8I2	olfactory receptor, family 8, subfamily I, member 2	932	6	0	2	14	0	0	12	26	26	16	2.720157e-05	1.000000e-05	2.512200e-01	6.263206e-09	1.977985e-06
59	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	2408	1	0	3	41	0	2	3	46	43	33	3.104452e-05	1.000000e-05	2.459900e-01	7.107026e-09	2.206430e-06
60	CD83	CD83 molecule	634	4	0	7	20	4	12	0	36	27	26	7.971880e-07	1.200000e-04	5.267000e-01	8.507055e-09	2.597062e-06
61	PFN1	profilin 1	431	11	0	1	4	0	6	0	10	9	6	1.205066e-06	5.190000e-02	1.800000e-03	1.339424e-08	4.022004e-06
62	YY1	YY1 transcription factor	1261	7	0	1	11	6	1	1	19	19	18	7.554293e-10	7.710000e-01	6.890000e-01	1.662227e-08	4.910807e-06
63	CCDC159	coiled-coil domain containing 159	941	20	0	0	4	0	0	8	12	8	5	8.412523e-05	1.000000e-05	8.302500e-01	1.842017e-08	5.355591e-06
64	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	603	13	0	1	13	0	1	0	14	14	10	1.148905e-07	2.400000e-03	8.615000e-01	2.218982e-08	6.350795e-06
65	RNPS1	RNA binding protein S1, serine-rich domain	942	0	0	0	2	0	0	5	7	7	3	1.119308e-05	8.000000e-05	9.802600e-01	2.649040e-08	7.464995e-06
66	C9orf43	chromosome 9 open reading frame 43	1814	21	0	2	2	0	0	12	14	14	3	1.873205e-04	1.000000e-05	9.983700e-01	3.951640e-08	1.096700e-05
67	EBF1	early B-cell factor 1	1836	2	0	6	47	8	10	3	68	53	60	3.767440e-07	4.400000e-03	7.697000e-01	5.621875e-08	1.536954e-05
68	TNIP1	TNFAIP3 interacting protein 1	1979	2	0	0	12	4	1	4	21	17	20	2.311658e-07	1.720000e-01	1.700000e-02	8.445765e-08	2.275016e-05
69	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	13	0	10	20	9	0	10	39	35	38	1.100724e-08	3.870000e-01	8.620000e-01	1.021997e-07	2.713032e-05
70	ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	1578	5	0	2	39	1	3	3	46	38	27	5.708131e-04	1.000000e-05	1	1.140563e-07	2.984527e-05
71	EZH2	enhancer of zeste homolog 2 (Drosophila)	2332	6	0	2	50	0	0	1	51	46	14	6.278902e-04	1.000000e-05	1.000000e-05	1.248627e-07	3.221282e-05
72	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	2153	0	0	1	39	4	1	2	46	42	36	8.281604e-04	1.000000e-05	2.708000e-01	1.623959e-07	4.131396e-05
73	IRF8	interferon regulatory factor 8	1312	0	0	8	33	6	0	12	51	44	36	2.535738e-05	1.500000e-04	2.536000e-02	1.828076e-07	4.586968e-05
74	BCL7A	B-cell CLL/lymphoma 7A	716	0	1	9	40	1	12	3	56	45	33	9.560729e-04	1.000000e-05	1.472700e-01	1.861053e-07	4.606610e-05
75	ACTB	actin, beta	1148	0	1	17	35	3	2	11	51	46	44	1.986948e-05	3.200000e-04	9.815400e-01	1.930044e-07	4.713683e-05
76	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	1417	8	0	4	17	0	4	2	23	22	20	1.139155e-07	7.000000e-02	9.340000e-01	2.239124e-07	5.396582e-05
77	GRB2	growth factor receptor-bound protein 2	670	38	0	1	6	5	3	2	16	14	15	3.102835e-08	3.180000e-01	4.490000e-01	2.462560e-07	5.858015e-05
78	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	1587	21	0	1	6	1	4	8	19	18	17	1.070030e-07	8.500000e-02	8.330000e-01	2.752267e-07	6.463240e-05
79	CXCR5	chemokine (C-X-C motif) receptor 5	1123	3	0	4	8	3	0	7	18	17	13	7.079295e-06	8.000000e-04	8.634000e-01	3.146211e-07	7.294829e-05
80	POU2AF1	POU class 2 associating factor 1	787	4	0	2	6	0	7	0	13	13	7	3.129077e-05	6.000000e-04	5.463333e-02	3.342009e-07	7.651946e-05
81	P2RY8	purinergic receptor P2Y, G-protein coupled, 8	1084	6	0	6	48	3	0	3	54	43	49	1.622745e-06	1.700000e-02	5.400000e-02	4.510686e-07	1.020028e-04
82	EP300	E1A binding protein p300	7365	3	0	9	39	2	2	7	50	46	41	2.629588e-03	1.000000e-05	6.300000e-03	4.852603e-07	1.083965e-04
83	CD274	CD274 molecule	897	10	0	0	6	2	5	3	16	13	16	6.450115e-08	6.110000e-01	4.130000e-01	5.996842e-07	1.323424e-04
84	CD79A	CD79a molecule, immunoglobulin-associated alpha	697	34	0	1	4	4	1	4	13	11	12	1.188361e-06	2.400000e-02	4.600000e-01	6.470446e-07	1.410942e-04
85	SGK1	serum/glucocorticoid regulated kinase 1	1997	0	16	40	134	5	40	5	184	66	116	3.700314e-03	1.000000e-05	6.200000e-04	6.702105e-07	1.444264e-04
86	AVPR1B	arginine vasopressin receptor 1B	1279	19	0	1	11	1	0	0	12	10	7	3.815489e-03	1.000000e-05	5.697300e-01	6.899019e-07	1.469411e-04
87	BCOR	BCL6 co-repressor	5324	1	0	1	23	6	0	3	32	29	28	4.477331e-06	1.490000e-02	2.123000e-01	7.644728e-07	1.609523e-04
88	PRSS21	protease, serine, 21 (testisin)	965	30	0	1	7	0	0	0	7	6	5	4.770481e-03	1.000000e-04	9.801000e-02	8.519237e-07	1.773260e-04
89	C2orf16	chromosome 2 open reading frame 16	5957	1	0	2	11	1	0	6	18	16	13	3.071431e-04	8.000000e-05	3.480900e-01	8.761458e-07	1.803187e-04
90	OR51B6	olfactory receptor, family 51, subfamily B, member 6	938	46	0	1	14	0	0	0	14	12	5	6.367317e-03	1.000000e-05	9.792100e-01	1.118706e-06	2.276815e-04
91	OR10V1	olfactory receptor, family 10, subfamily V, member 1	930	10	0	0	3	5	0	0	8	8	4	5.206262e-05	3.270000e-02	2.370000e-02	1.945122e-06	3.915252e-04
92	NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2	1103	46	0	2	2	1	0	5	8	8	4	2.672039e-03	1.000000e-05	8.120100e-01	2.248307e-06	4.476331e-04
93	GRHPR	glyoxylate reductase/hydroxypyruvate reductase	1021	1	0	13	29	3	9	2	43	26	30	1.513587e-02	1.000000e-05	9.408600e-01	2.528237e-06	4.979539e-04
94	CCDC27	coiled-coil domain containing 27	2017	8	0	1	4	0	0	5	9	9	4	1.683860e-02	1.000000e-05	1.006500e-01	2.794704e-06	5.445808e-04
95	STK33	serine/threonine kinase 33	1589	79	0	1	8	0	0	6	14	14	10	1.489011e-04	9.500000e-04	7.605500e-01	3.871423e-06	7.464512e-04
96	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 (H)	1400	0	0	3	6	0	6	0	12	12	8	3.143389e-03	9.800000e-04	1.428000e-02	4.072811e-06	7.771007e-04
97	RFX7	regulatory factor X, 7	4415	1	0	5	7	3	0	7	17	17	16	1.349017e-06	1.730000e-01	9.290000e-01	4.676367e-06	8.830620e-04
98	STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	2628	12	0	2	16	0	0	0	16	14	8	3.102534e-02	1.000000e-05	1.000000e-05	4.959672e-06	9.270032e-04
99	HIST1H1D	histone cluster 1, H1d	670	1	0	4	42	0	0	1	43	35	31	4.132542e-02	1.000000e-05	6.342800e-01	6.487762e-06	1.200367e-03
100	SCN9A	sodium channel, voltage-gated, type IX, alpha subunit	6038	58	0	9	32	0	0	13	45	42	33	6.509007e-03	1.000000e-05	8.020500e-01	8.054533e-06	1.466648e-03
101	SOCS1	suppressor of cytokine signaling 1	640	0	2	33	79	11	0	16	106	60	85	5.229719e-07	3.640000e-01	9.920000e-01	8.087101e-06	1.466648e-03
102	MYST4	MYST histone acetyltransferase (monocytic leukemia) 4	6282	1	0	7	5	1	0	6	12	12	8	7.335115e-02	1.000000e-05	3.157500e-01	1.109467e-05	1.979885e-03
103	DACH1	dachshund homolog 1 (Drosophila)	2167	6	0	9	10	0	1	19	30	26	14	7.362447e-02	1.000000e-05	1	1.113327e-05	1.979885e-03
104	KIAA1919	KIAA1919	1569	24	0	1	5	3	0	0	8	5	4	7.946177e-02	1.000000e-05	7.821800e-01	1.195534e-05	2.105635e-03
105	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	2624	10	0	7	21	8	0	0	29	25	21	8.427887e-02	7.000000e-05	9.684000e-02	1.263050e-05	2.203360e-03
106	CLDN23	claudin 23	879	3	0	2	6	1	0	2	9	9	8	7.301770e-05	1.230000e-02	4.107000e-01	1.502189e-05	2.572753e-03
107	MSL2	male-specific lethal 2 homolog (Drosophila)	1738	7	0	2	6	1	0	4	11	11	8	1.991088e-04	3.000000e-03	5.476000e-01	1.502891e-05	2.572753e-03
108	OR6K2	olfactory receptor, family 6, subfamily K, member 2	975	40	0	1	2	0	0	11	13	8	5	1.060642e-01	1.000000e-05	9.945900e-01	1.565150e-05	2.644985e-03
109	ARHGAP25	Rho GTPase activating protein 25	2019	0	0	5	7	7	2	2	18	17	15	1.240757e-04	4.200000e-03	2.748000e-01	1.573966e-05	2.644985e-03
110	SIRT5	sirtuin (silent mating type information regulation 2 homolog) 5 (S. cerevisiae)	1010	58	0	1	9	1	0	1	11	11	8	7.273130e-04	9.000000e-04	9.052500e-01	1.606828e-05	2.675661e-03
111	IL6	interleukin 6 (interferon, beta 2)	655	103	0	1	11	4	0	1	16	13	14	4.300488e-06	2.050000e-01	9.350000e-01	1.644078e-05	2.713024e-03
112	NANOG	Nanog homeobox	930	48	0	0	4	1	0	1	6	5	4	5.925569e-02	1.000000e-05	8.121100e-01	1.735679e-05	2.838610e-03
113	HLA-DMB	major histocompatibility complex, class II, DM beta	812	3	0	3	12	3	4	6	25	20	24	1.989430e-05	4.120000e-01	3.300000e-02	1.855606e-05	3.007889e-03
114	RFTN1	raftlin, lipid raft linker 1	1773	0	0	11	23	2	7	1	33	27	27	2.647120e-03	3.000000e-04	9.241167e-01	1.983461e-05	3.186935e-03
115	HIST1H1B	histone cluster 1, H1b	685	2	0	14	45	0	0	6	51	44	37	1.170385e-02	3.000000e-05	9.583600e-01	2.033079e-05	3.238252e-03
116	TLR2	toll-like receptor 2	2359	3	0	0	16	1	0	0	17	17	11	1.455226e-01	1.000000e-05	5.209900e-01	2.101397e-05	3.318215e-03
117	CD19	CD19 molecule	1732	1	0	5	7	3	3	6	19	17	18	4.378076e-06	5.370000e-01	2.880000e-01	2.157888e-05	3.351941e-03
118	PDS5B	PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)	4480	3	0	2	9	2	3	3	17	17	15	1.440765e-04	9.400000e-03	9.987000e-01	2.159355e-05	3.351941e-03
119	OLIG1	oligodendrocyte transcription factor 1	817	1	0	1	5	0	0	2	7	7	4	7.451599e-03	1.300000e-04	7.971300e-01	2.347750e-05	3.613759e-03
120	SESN3	sestrin 3	1515	3	0	1	4	1	4	2	11	8	8	4.900715e-03	1.400000e-04	9.896200e-01	2.383551e-05	3.628444e-03
121	SLAMF6	SLAM family member 6	1029	0	0	0	5	2	4	1	12	9	11	4.789387e-05	7.200000e-02	2.410000e-01	2.396909e-05	3.628444e-03
122	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	1559	7	0	0	6	1	3	0	10	9	10	1.006991e-05	1	8.400000e-02	2.444214e-05	3.669726e-03
123	WAC	WW domain containing adaptor with coiled-coil	1998	0	0	2	3	6	1	3	13	13	13	1.794663e-06	1	8.760000e-01	2.553930e-05	3.803279e-03
124	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	3225	10	0	0	11	0	0	2	13	13	12	2.095154e-03	5.100000e-03	8.033333e-02	2.674070e-05	3.950076e-03
125	ESX1	ESX homeobox 1	1235	0	0	4	17	0	1	1	19	17	11	1.933055e-01	1.000000e-05	2.660000e-01	2.736512e-05	3.989728e-03
126	PIM1	pim-1 oncogene	962	0	2	266	332	28	45	20	425	154	164	1.939110e-01	1.000000e-05	1	2.744477e-05	3.989728e-03
127	BTK	Bruton agammaglobulinemia tyrosine kinase	2052	2	0	0	13	1	1	1	16	16	13	2.742797e-03	4.500000e-04	5.351000e-01	2.899318e-05	4.181638e-03
128	PIP5KL1	phosphatidylinositol-4-phosphate 5-kinase-like 1	1223	8	0	1	7	1	1	1	10	10	9	2.217123e-06	7.870000e-01	4.950000e-01	3.108251e-05	4.447955e-03
129	CARD11	caspase recruitment domain family, member 11	3557	0	0	18	100	0	2	4	106	87	59	2.271246e-01	1.000000e-05	4.880000e-03	3.178651e-05	4.506069e-03
130	EIF5	eukaryotic translation initiation factor 5	1332	9	1	0	2	0	0	7	9	9	4	3.265982e-02	2.000000e-05	9.468900e-01	3.198062e-05	4.506069e-03
131	BTG2	BTG family, member 2	483	0	0	46	102	12	16	8	138	81	79	5.399435e-06	1.780000e-01	6.760000e-01	3.230222e-05	4.516639e-03
132	HIST1H1E	histone cluster 1, H1e	664	0	0	22	136	2	0	11	149	98	85	2.181047e-02	4.000000e-05	9.912900e-01	3.344512e-05	4.641018e-03
133	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	3221	4	0	2	4	0	1	0	5	5	4	2.429112e-01	1.000000e-05	3.135500e-01	3.383263e-05	4.659491e-03
134	PAX5	paired box 5	1212	4	1	3	15	0	5	0	20	16	15	2.212654e-03	2.833333e-04	9.971000e-01	3.532235e-05	4.828354e-03
135	NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	7800	1	0	13	17	5	0	6	28	23	24	1.549639e-04	1.060000e-02	9.989000e-01	3.727357e-05	5.057333e-03
136	COPS6	COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)	1022	0	0	4	3	0	0	5	8	8	4	1.846301e-02	7.000000e-05	9.804200e-01	3.820974e-05	5.126327e-03
137	MUC6	mucin 6, oligomeric mucus/gel-forming	7450	3	0	9	17	1	0	6	24	23	21	5.576584e-02	2.511000e-02	1.000000e-04	3.845078e-05	5.126327e-03
138	NFATC4	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4	3001	11	0	4	3	1	0	5	9	9	5	2.801656e-01	2.000000e-05	5.895100e-01	3.862167e-05	5.126327e-03
139	UVRAG	UV radiation resistance associated gene	2156	4	0	1	5	0	0	3	8	7	5	3.083608e-01	1.000000e-05	3.478500e-01	4.221278e-05	5.562673e-03
140	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	927	23	0	1	5	0	4	0	9	9	8	3.293172e-04	1.740000e-02	2.845000e-01	4.569584e-05	5.978648e-03
141	INO80	INO80 homolog (S. cerevisiae)	4811	19	0	4	19	6	1	1	27	26	26	5.497359e-06	4.620000e-01	8.320000e-01	4.949159e-05	6.429344e-03
142	SLC27A6	solute carrier family 27 (fatty acid transporter), member 6	1896	4	0	3	5	0	1	6	12	12	8	1.365272e-02	2.500000e-04	4.572667e-01	5.207737e-05	6.717613e-03
143	FOXO1	forkhead box O1	1976	0	0	10	44	2	0	1	47	36	34	4.258015e-01	1.000000e-05	9.649600e-01	5.691564e-05	7.290376e-03
144	ARID5B	AT rich interactive domain 5B (MRF1-like)	3603	2	0	10	18	2	2	0	22	19	20	4.376221e-01	1.000000e-05	2.212000e-02	5.837583e-05	7.425486e-03
145	TMEM49	transmembrane protein 49	1265	1	1	12	31	2	4	3	40	33	28	5.704053e-02	2.000000e-05	8.243800e-01	6.067961e-05	7.665300e-03
146	SFRS7	splicing factor, arginine/serine-rich 7, 35kDa	745	59	0	2	6	0	2	0	8	7	6	4.727265e-02	6.000000e-05	7.441900e-01	6.269376e-05	7.865491e-03
147	TUBGCP5	tubulin, gamma complex associated protein 5	3208	7	0	4	13	1	0	1	15	15	10	4.852249e-01	9.000000e-05	3.277000e-02	6.422470e-05	8.002747e-03
148	OSBPL10	oxysterol binding protein-like 10	2339	0	1	34	80	3	11	3	97	67	50	5.150325e-01	1.000000e-05	1	6.786300e-05	8.398964e-03
149	CTDP1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1	2934	28	0	3	8	0	1	8	17	17	10	3.964899e-03	4.250000e-04	7.382250e-01	6.911818e-05	8.496897e-03
150	GGT6	gamma-glutamyltransferase 6	1496	6	0	0	6	0	0	0	6	5	3	4.151577e-02	8.000000e-05	8.668300e-01	7.086142e-05	8.653124e-03
151	KLHL14	kelch-like 14 (Drosophila)	1919	0	0	52	57	19	0	14	90	41	70	5.493372e-01	1.000000e-05	9.920800e-01	7.202892e-05	8.737442e-03
152	TBC1D12	TBC1 domain family, member 12	2376	2	0	5	6	0	0	7	13	12	7	6.530464e-02	4.000000e-05	1	7.666734e-05	9.238919e-03
153	MAP2K1	mitogen-activated protein kinase kinase 1	1224	1	0	5	18	0	1	0	19	19	13	6.186656e-01	1.000000e-05	1.436800e-01	8.038394e-05	9.623481e-03
154	TMC1	transmembrane channel-like 1	2363	17	0	2	11	1	2	0	14	14	12	3.117013e-02	1.500000e-04	9.326100e-01	8.095188e-05	9.628543e-03
155	RUSC1	RUN and SH3 domain containing 1	4056	8	1	0	11	0	0	1	12	12	7	6.713628e-02	3.000000e-05	6.389700e-01	8.668215e-05	1.017268e-02
156	TRIM50	tripartite motif-containing 50	1521	1	0	4	4	0	0	2	6	6	4	6.723018e-01	1.830000e-03	4.860000e-03	8.679399e-05	1.017268e-02
