gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	pCL2	pFN2	pCF	p	q
GNA13	guanine nucleotide binding protein (G protein), alpha 13	1146	1	1	3	51	13	3	8	75	51	69	1.000000e-16	9.400000e-03	3.090000e-01	6.754418e-01	3.007927e-01	2.146824e-02	1.110223e-16	1.061023e-13
HIST1H1D	histone cluster 1, H1d	666	1	0	4	42	0	0	1	43	35	31	1.325021e-14	3.000000e-05	5.883200e-01	1.399219e-02	5.788238e-01	9.340173e-01	1.110223e-16	1.061023e-13
HIST1H1E	histone cluster 1, H1e	660	0	1	22	136	2	0	11	149	98	85	1.000000e-16	1.090000e-02	9.618000e-01	1.431817e-07	9.608919e-01	4.497469e-01	2.220446e-16	1.919946e-13
CD58	CD58 molecule	790	2	4	0	13	20	3	26	62	47	50	1.000000e-16	2.500000e-02	4.850000e-01	3.361520e-04	4.879804e-01	1.065921e-03	2.220446e-16	1.919946e-13
BTG2	BTG family, member 2	481	0	41	46	102	12	16	10	140	83	81	1.000000e-16	4.600000e-02	2.500000e-01	4.063680e-04	2.220995e-01	9.900582e-01	3.330669e-16	2.629491e-13
TNFAIP3	tumor necrosis factor, alpha-induced protein 3	2401	22	3	1	12	27	2	42	83	70	71	3.662767e-16	1.130000e-02	2.438000e-01	8.839597e-03	2.319526e-01	4.811252e-05	3.330669e-16	2.629491e-13
PRDM1	PR domain containing 1, with ZNF domain	2513	7	1	6	21	14	21	12	68	54	51	1.000000e-16	5.100000e-02	2.190000e-01	1.000000e-16	1.828158e-01	7.958227e-04	4.440892e-16	3.359905e-13
TNFRSF14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	913	0	4	4	29	25	14	14	82	76	67	2.641989e-16	5.750000e-01	1.800000e-02	7.575552e-02	1.396991e-02	3.029212e-25	5.551115e-16	4.031886e-13
B2M	beta-2-microglobulin	391	0	7	1	26	14	8	16	64	55	41	5.709786e-16	1.600000e-02	3.340000e-01	6.253345e-10	3.165950e-01	6.986200e-07	6.661338e-16	4.652176e-13
UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)	479	25	1	0	23	2	4	2	31	28	28	3.569024e-16	1.910000e-01	1.080000e-01	5.497261e-01	9.915470e-02	8.618504e-09	8.881784e-16	5.973164e-13
TMEM30A	transmembrane protein 30A	1110	12	1	0	5	21	8	13	47	42	37	1.445899e-15	6.700000e-02	4.400000e-02	2.551246e-09	5.026586e-02	2.223163e-08	9.992007e-16	6.479817e-13
HLA-C	major histocompatibility complex, class I, C	1147	5	1	0	11	6	4	4	25	22	20	7.437075e-12	1.862000e-02	1.000000e-05	3.878874e-06	4.212469e-08	5.594236e-01	2.886580e-15	1.807397e-12
KMT2D	myeloid/lymphoid or mixed-lineage leukemia 2	16826	8	6	17	63	71	19	78	231	168	219	1.000000e-16	1	7.250000e-01	5.666851e-01	7.048857e-01	1.462702e-01	3.774758e-15	2.141939e-12
TMSB4X	thymosin beta 4, X-linked	139	0	18	6	49	15	13	17	94	80	44	1.000000e-16	7.890000e-01	7.670000e-01	1.272418e-04	7.467524e-01	4.180844e-16	3.774758e-15	2.141939e-12
SOCS1	suppressor of cytokine signaling 1	636	0	2	33	79	11	0	16	106	60	85	1.000000e-16	6.900000e-01	9.480000e-01	7.557915e-02	9.466943e-01	9.520027e-01	3.774758e-15	2.141939e-12
IGLL5	immunoglobulin lambda-like polypeptide 5	656	0	5	34	59	1	11	9	80	54	41	9.223461e-14	3.400000e-04	5.857800e-01	1.000000e-16	5.751891e-01	7.656867e-01	3.996803e-15	2.199211e-12
NOTCH2	Notch homolog 2 (Drosophila)	7624	5	1	4	12	24	0	13	49	45	36	1.586346e-15	1.030000e-01	7.670000e-01	5.684342e-14	7.684153e-01	3.408509e-03	9.658940e-15	5.158442e-12
BCL2	B-cell CLL/lymphoma 2	755	0	18	145	142	0	0	0	142	72	86	7.180520e-14	1.900000e-03	1	2.171604e-03	9.999848e-01	8.248475e-01	1.032507e-14	5.356648e-12
CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	939	7	2	2	5	22	2	0	29	27	12	5.225632e-13	2.352250e-01	2.000000e-04	1.421085e-14	1.431784e-04	2.227513e-10	1.176836e-14	5.935832e-12
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	974	14	0	3	12	12	2	4	30	22	25	4.551811e-14	8.300000e-02	7.800000e-01	1.585981e-03	8.159753e-01	6.696267e-01	2.221556e-13	1.090244e-10
ZNF444	zinc finger protein 444	992	4	0	1	0	0	0	25	25	25	2	5.295419e-09	1.000000e-05	7.994700e-01	1.000000e-16	7.964249e-01	5.933983e-03	1.671774e-12	7.988439e-10
HIST1H1C	histone cluster 1, H1c	642	0	2	17	66	1	0	4	71	59	55	1.527015e-11	5.700000e-03	2.026000e-01	1.576224e-03	1.926519e-01	8.899302e-01	2.520650e-12	1.153926e-09
IKZF3	IKAROS family zinc finger 3 (Aiolos)	1559	8	0	2	23	0	2	2	27	25	19	8.164086e-09	1.000000e-05	1.000000e-05	7.068110e-09	1.756556e-05	9.555217e-01	2.541967e-12	1.153926e-09
POU2F2	POU class 2 homeobox 2	1934	5	0	3	27	1	3	2	33	31	21	2.548454e-10	1.066667e-03	7.293333e-02	1.000000e-16	6.882365e-02	7.234329e-01	8.628098e-12	3.821195e-09
BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	2151	0	1	1	39	4	1	2	46	42	36	4.038345e-08	1.000000e-05	6.406000e-02	1.118678e-10	5.974115e-02	7.451622e-01	1.192835e-11	5.157022e-09
GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	1249	0	2	3	30	0	1	4	35	33	25	1.322777e-07	1.000000e-05	1.079000e-01	2.013045e-05	1.034390e-01	9.148740e-01	3.750245e-11	1.583650e-08
KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	727	8	0	0	17	0	0	0	17	17	10	7.519466e-09	3.000000e-05	4.844600e-01	5.812240e-11	4.759396e-01	7.105899e-02	4.039535e-11	1.667043e-08
BCL7A	B-cell CLL/lymphoma 7A	716	0	12	9	40	1	12	3	56	45	33	2.178176e-07	1.000000e-05	7.889000e-02	8.526513e-14	7.447173e-02	8.649959e-01	6.066769e-11	2.448009e-08
CCND3	cyclin D3	1036	0	5	3	21	6	0	19	46	46	24	2.643065e-07	1.000000e-05	2.570100e-01	1.133859e-06	2.457630e-01	3.557906e-01	7.310474e-11	2.885730e-08
ZEB2	zinc finger E-box binding homeobox 2	3677	23	3	4	6	8	7	17	38	34	33	2.750724e-11	9.300000e-02	9.970000e-01	9.237707e-07	9.955911e-01	3.193483e-01	9.274603e-11	3.583154e-08
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	2405	0	0	3	41	0	2	3	46	43	33	4.831865e-07	1.000000e-05	5.205000e-02	8.757301e-06	4.805514e-02	9.135229e-01	1.307300e-10	4.945406e-08
MEF2B	myocyte enhancer factor 2B	1272	1	1	3	34	2	1	5	42	41	33	9.374690e-11	8.800000e-02	2.300000e-02	5.059064e-12	2.319164e-02	5.983369e-01	1.367295e-10	5.031455e-08
E2F5	E2F transcription factor 5, p130-binding	1076	22	1	1	18	0	1	0	19	19	2	5.132210e-07	1.000000e-05	1	1.000000e-16	1.000000e+00	2.444897e-07	1.385465e-10	5.031455e-08
HVCN1	hydrogen voltage-gated channel 1	856	13	0	0	7	4	1	3	15	15	12	9.600761e-11	1.990000e-01	3.400000e-02	1.152928e-01	2.694320e-02	1.522745e-05	2.189665e-10	7.649600e-08
CD7	CD7 molecule	787	59	1	0	5	0	0	9	14	13	5	8.260536e-07	1.000000e-05	8.585400e-01	2.842171e-14	8.573322e-01	6.366084e-02	2.190655e-10	7.649600e-08
GRB2	growth factor receptor-bound protein 2	670	77	0	1	6	5	3	2	16	14	15	6.339213e-11	2.280000e-01	1.310000e-01	1.270922e-01	1.259653e-01	4.469146e-03	2.234178e-10	7.654379e-08
FADD	Fas (TNFRSF6)-associated via death domain	631	42	0	0	14	2	1	3	20	15	19	6.855249e-10	1	1.120000e-02	1	1.034962e-02	8.498409e-01	8.585642e-10	2.887002e-07
C9orf43	chromosome 9 open reading frame 43	1434	4	0	2	2	0	0	12	14	14	3	4.244021e-06	1.000000e-05	9.973800e-01	1.000000e-16	9.975225e-01	2.209869e-05	1.056037e-09	3.486457e-07
ZC3H12A	zinc finger CCCH-type containing 12A	1816	1	0	2	14	4	0	8	26	24	25	5.068685e-10	1	2.300000e-02	1	2.508326e-02	8.195443e-02	1.204133e-09	3.904403e-07
OR8I2	olfactory receptor, family 8, subfamily I, member 2	933	41	0	2	14	0	0	12	26	26	16	1.013865e-05	1.000000e-05	1.843100e-01	1.421085e-14	1.809558e-01	2.995625e-01	2.434501e-09	7.755379e-07
SPEN	spen homolog, transcriptional regulator (Drosophila)	11051	10	2	7	30	19	0	13	62	51	61	1.798870e-10	5.980000e-01	5.330000e-01	1	4.899154e-01	1.188407e-01	3.217400e-09	1.007268e-06
HIST1H2AC	histone cluster 1, H2ac	397	0	1	35	36	4	1	6	47	40	38	5.855878e-09	1.500000e-02	9.770000e-01	1.224562e-03	9.725070e-01	7.641113e-01	3.726265e-09	1.146805e-06
YY1	YY1 transcription factor	1261	39	0	1	11	6	1	1	19	19	18	2.985823e-10	7.830000e-01	6.650000e-01	1.270192e-01	6.669550e-01	6.436070e-01	6.847083e-09	2.072155e-06
ZFP36L1	zinc finger protein 36, C3H type-like 1	1729	0	6	27	32	3	23	3	61	46	37	3.043931e-05	1.200000e-04	8.000000e-05	2.842171e-14	3.577472e-05	9.152698e-01	6.974468e-09	2.076105e-06
RHOA	ras homolog gene family, member A	739	3	1	1	25	0	0	1	26	23	17	6.847506e-07	2.250000e-04	2.766625e-01	2.132171e-05	2.675468e-01	9.450105e-01	7.243837e-09	2.121510e-06
EP300	E1A binding protein p300	7365	0	1	9	39	2	2	7	50	46	41	9.242756e-05	1.000000e-05	2.160000e-03	1.000000e-16	2.191667e-03	3.331600e-01	2.015107e-08	5.807985e-06
PTPN6	protein tyrosine phosphatase, non-receptor type 6	2003	26	0	3	30	3	4	2	39	27	35	1.870095e-08	5.990000e-01	2.200000e-02	1.609518e-01	2.090140e-02	6.714095e-01	2.153983e-08	6.111254e-06
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	1578	1	4	2	39	1	3	4	47	38	28	1.407250e-04	1.000000e-05	1	7.673862e-13	9.999972e-01	9.695986e-01	3.008930e-08	8.405561e-06
BTK	Bruton agammaglobulinemia tyrosine kinase	2048	2	0	0	13	1	1	1	16	16	13	9.289403e-06	1.400000e-04	3.420500e-01	5.694185e-02	3.370574e-01	3.735063e-02	5.768263e-08	1.586972e-05
SGK1	serum/glucocorticoid regulated kinase 1	2212	0	40	40	134	5	40	5	184	66	116	6.581919e-04	3.000000e-05	1.800000e-04	9.005673e-03	1.791673e-04	9.999958e-01	1.305783e-07	3.538867e-05
HIST1H1B	histone cluster 1, H1b	681	2	2	14	45	0	0	6	51	44	37	2.523225e-05	2.000000e-05	8.164000e-01	4.703987e-06	8.076267e-01	9.956673e-01	1.349221e-07	3.602816e-05
HIST1H2AM	histone cluster 1, H2am	393	0	6	22	32	1	0	3	36	34	21	1.738507e-05	4.500000e-04	2.920500e-01	1.053997e-05	2.797106e-01	9.294331e-01	2.733718e-07	7.194038e-05
TNIP1	TNFAIP3 interacting protein 1	2046	7	1	0	12	4	1	4	21	17	20	1.563144e-06	3.165000e-01	7.000000e-03	6.435596e-02	6.083963e-03	1.977569e-01	4.846485e-07	1.257178e-04
ZC3H18	zinc finger CCCH-type containing 18	3002	14	0	5	9	4	2	11	26	25	19	5.297435e-05	3.000000e-04	9.246400e-01	7.105427e-13	9.255687e-01	2.300603e-01	5.070620e-07	1.296793e-04
LTB	lymphotoxin beta (TNF superfamily, member 3)	751	0	18	17	34	4	14	3	55	42	44	3.520958e-07	2.400000e-02	9.880000e-01	2.537554e-04	9.854350e-01	1.185241e-01	5.300987e-07	1.336880e-04
TLR2	toll-like receptor 2	2355	1	1	0	16	1	0	0	17	17	11	3.378458e-03	1.000000e-05	4.831400e-01	1.989520e-10	4.745150e-01	9.043222e-01	6.149895e-07	1.529723e-04
DUSP2	dual specificity phosphatase 2	957	0	26	53	81	4	7	8	100	61	63	4.005110e-08	6.570000e-01	9.740000e-01	6.644708e-06	9.722015e-01	8.929630e-01	7.222459e-07	1.772235e-04
DAZAP1	DAZ associated protein 1	1361	4	0	4	10	8	0	2	20	20	14	4.194838e-04	7.000000e-05	2.444600e-01	1.887221e-06	2.395157e-01	6.033113e-01	7.545183e-07	1.826739e-04
SKP1	S-phase kinase-associated protein 1	568	9	0	0	0	0	0	5	5	5	1	5.795750e-04	1.000000e-05	9.064700e-01	9.340084e-12	9.064750e-01	1.595865e-01	8.293347e-07	1.981455e-04
BRAF	v-raf murine sarcoma viral oncogene homolog B1	2369	1	1	4	25	0	4	0	29	28	19	5.193052e-03	1.000000e-05	4.095000e-02	5.770708e-04	3.781597e-02	7.788993e-01	9.229797e-07	2.176554e-04
CD274	CD274 molecule	893	17	1	0	6	2	5	3	16	13	16	1.869030e-07	4.680000e-01	2.700000e-01	1	2.740599e-01	1.296225e-02	1.026557e-06	2.389772e-04
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	2624	13	0	2	16	0	0	0	16	14	8	5.932550e-03	1.000000e-05	1.000000e-05	4.185097e-11	1.110006e-06	3.885466e-01	1.046515e-06	2.405395e-04
ACTB	actin, beta	1148	0	7	17	35	3	5	11	54	48	45	1.742776e-05	2.900000e-03	8.954000e-01	1.114839e-02	8.891680e-01	6.662192e-01	1.074309e-06	2.438413e-04
RUSC1	RUN and SH3 domain containing 1	2872	1	2	0	11	0	0	1	12	12	7	9.713798e-03	1.000000e-05	5.365000e-01	1.421085e-14	5.351128e-01	6.802949e-01	1.665638e-06	3.733908e-04
DTX1	deltex homolog 1 (Drosophila)	1895	0	13	55	97	7	5	5	114	74	82	1.191494e-02	1.000000e-05	9.925900e-01	1.201752e-06	9.918603e-01	9.729984e-01	2.018735e-06	4.430832e-04
RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	757	39	1	1	13	0	1	0	14	14	10	3.416086e-05	1.800000e-03	4.857000e-01	2.247569e-06	4.751280e-01	7.239785e-01	2.025328e-06	4.430832e-04
C2orf16	chromosome 2 open reading frame 16	5955	7	0	2	11	1	0	6	18	16	13	1.300287e-02	1.000000e-05	2.463400e-01	3.439027e-12	2.492529e-01	3.975101e-01	2.191701e-06	4.737727e-04
SMO	smoothened homolog (Drosophila)	2408	4	0	4	9	0	1	9	19	19	11	2.697589e-03	1.000000e-05	9.999700e-01	1.000000e-16	9.999497e-01	5.112514e-02	3.112395e-06	6.642897e-04
MAP2K1	mitogen-activated protein kinase kinase 1	1264	2	0	5	18	0	1	0	19	19	13	1.910163e-02	1.000000e-05	1.403800e-01	1.874426e-06	1.340290e-01	7.248954e-01	3.146212e-06	6.642897e-04
PFN1	profilin 1	453	3	0	1	4	0	6	0	10	9	6	7.842852e-06	1.972000e-01	3.600000e-03	1.291651e-06	3.350406e-03	5.683506e-01	3.381561e-06	7.057745e-04
HIST1H2BC	histone cluster 1, H2bc	387	0	4	19	36	3	0	0	39	30	29	2.883489e-04	5.000000e-04	2.306000e-01	4.549157e-04	2.220513e-01	9.371142e-01	3.461374e-06	7.142231e-04
RNPS1	RNA binding protein S1, serine-rich domain	1013	3	0	0	2	0	0	5	7	7	3	1.036671e-03	1.300000e-04	9.808800e-01	1.944755e-11	9.811415e-01	3.708410e-02	3.557265e-06	7.257620e-04
KLHL6	kelch-like 6 (Drosophila)	1890	0	7	8	59	5	1	0	65	50	44	2.270810e-02	1.000000e-05	8.350000e-01	6.391474e-10	8.272339e-01	4.995572e-01	3.700957e-06	7.466887e-04
EIF5	eukaryotic translation initiation factor 5	1332	50	3	0	2	0	0	7	9	9	4	3.188685e-03	2.000000e-05	9.411300e-01	2.131628e-14	9.400378e-01	2.003615e-01	4.127850e-06	8.169489e-04
ARIH1	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	1726	3	2	3	1	0	0	10	11	11	2	2.558414e-02	1.000000e-05	1	1.000000e-16	1	1.351769e-03	4.139184e-06	8.169489e-04
RC3H1	ring finger and CCCH-type zinc finger domains 1	3477	3	1	0	17	1	0	0	18	16	15	1.093458e-03	4.725000e-03	1.440000e-02	4.608488e-05	1.302984e-02	8.055566e-01	5.021325e-06	9.804001e-04
STK33	serine/threonine kinase 33	1589	30	1	1	8	0	0	6	14	14	10	2.246776e-04	9.000000e-04	7.321500e-01	3.094556e-10	7.293979e-01	4.324103e-01	5.359617e-06	1.035318e-03
CD83	CD83 molecule	634	0	14	7	20	4	12	0	36	27	26	6.819195e-04	3.800000e-04	5.404000e-01	6.969152e-03	5.293152e-01	5.022282e-01	5.823492e-06	1.113084e-03
SLAMF6	SLAM family member 6	1027	0	0	0	5	2	4	1	12	9	11	7.452605e-05	1.660000e-02	9.410000e-02	3.440802e-02	9.271453e-02	1.937888e-01	6.108899e-06	1.155473e-03
BCOR	BCL6 co-repressor	5398	2	2	1	23	6	0	3	32	29	28	2.899329e-04	5.350000e-03	9.680000e-02	1.387264e-10	9.476375e-02	2.370422e-09	6.379683e-06	1.194250e-03
OR10V1	olfactory receptor, family 10, subfamily V, member 1	930	3	0	0	3	5	0	0	8	8	4	1.069491e-03	2.370000e-02	7.250000e-03	7.339906e-11	6.949550e-03	9.975933e-01	7.092544e-06	1.314147e-03
PRKCB	protein kinase C, beta	2241	3	1	2	22	0	0	0	22	21	20	1.082435e-03	2.142857e-04	3.892429e-01	8.948368e-02	3.816438e-01	5.700015e-01	7.229240e-06	1.325945e-03
TET2	tet oncogene family member 2	6197	3	0	2	8	10	0	10	28	26	27	1.167930e-04	4.081000e-01	1.350000e-03	5.109730e-02	1.360869e-03	8.125104e-01	8.293387e-06	1.505913e-03
AVPR1B	arginine vasopressin receptor 1B	1279	8	1	1	11	1	0	0	12	10	7	7.402091e-03	6.000000e-05	2.763200e-01	7.260155e-05	2.780125e-01	8.268111e-01	9.083536e-06	1.633058e-03
PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	0	1	0	19	5	1	2	27	23	25	3.126226e-06	1.330000e-01	8.610000e-01	1.844999e-01	8.673728e-01	2.472422e-01	1.137563e-05	2.025085e-03
CXCR5	chemokine (C-X-C motif) receptor 5	1123	0	1	4	8	3	0	7	18	17	13	2.488732e-04	1.150000e-03	6.961500e-01	1.647391e-06	6.890151e-01	8.580863e-02	1.232940e-05	2.173566e-03
OR6K2	olfactory receptor, family 6, subfamily K, member 2	975	18	0	1	2	0	0	11	13	8	5	8.269474e-03	1.000000e-05	9.614200e-01	5.820447e-05	9.617688e-01	1.588717e-01	1.470961e-05	2.568241e-03
ESX1	ESX homeobox 1	1233	0	0	4	17	0	1	1	19	17	11	1.026268e-01	1.000000e-05	9.673000e-02	1.000000e-16	9.564628e-02	9.925866e-01	1.517807e-05	2.623163e-03
NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2	1099	22	0	2	2	1	0	5	8	8	4	1.480091e-02	1.000000e-05	7.508700e-01	5.201291e-08	7.518407e-01	4.783516e-01	1.531310e-05	2.623163e-03
CCDC159	coiled-coil domain containing 159	934	7	2	0	4	0	0	8	12	8	5	5.276660e-03	9.000000e-05	6.205700e-01	2.948714e-02	6.194998e-01	4.635808e-01	1.846325e-05	3.133230e-03
RAB5B	RAB5B, member RAS oncogene family	664	20	0	0	5	0	0	3	8	8	6	1.243718e-04	9.500000e-03	9.097000e-01	1.247933e-04	9.079965e-01	2.966530e-02	2.034344e-05	3.420335e-03
CCDC27	coiled-coil domain containing 27	2015	1	2	1	4	0	0	5	9	9	4	1.603778e-01	1.000000e-05	4.675000e-02	7.581491e-12	4.661429e-02	7.685494e-01	2.300323e-05	3.832043e-03
IL6	interleukin 6 (interferon, beta 2)	937	33	0	1	11	4	0	1	16	13	14	1.316594e-05	8.700000e-02	8.250000e-01	3.190501e-04	8.341542e-01	3.646643e-01	2.356263e-05	3.868690e-03
POU2AF1	POU class 2 associating factor 1	787	8	1	2	6	0	7	0	13	13	7	3.097978e-03	1.033333e-03	1.140000e-02	4.527443e-04	1.105068e-02	3.821936e-01	2.364933e-05	3.868690e-03
COPS6	COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)	1020	1	0	4	3	0	0	5	8	8	4	2.034231e-01	1.000000e-05	9.745200e-01	5.081802e-11	9.745952e-01	5.330996e-02	2.869363e-05	4.651954e-03
ANKRD40	ankyrin repeat domain 40	1123	1	0	0	2	0	0	3	5	5	3	7.696811e-03	2.833333e-04	8.479167e-01	7.862741e-06	8.486495e-01	1.263924e-01	3.227737e-05	5.186659e-03
DACH1	dachshund homolog 1 (Drosophila)	2327	2	2	9	10	0	1	19	30	26	14	2.377214e-01	1.000000e-05	1	5.684342e-14	1	2.770636e-05	3.316113e-05	5.281929e-03
OSBPL10	oxysterol binding protein-like 10	2339	0	2	34	80	3	11	3	97	67	50	2.840725e-01	1.000000e-05	9.998200e-01	1.382375e-09	9.998263e-01	5.696294e-02	3.912090e-05	6.177021e-03
OR51B6	olfactory receptor, family 51, subfamily B, member 6	939	5	0	1	14	0	0	0	14	12	5	3.022068e-01	1.000000e-05	9.479600e-01	1.222134e-12	9.466993e-01	9.999936e-01	4.143125e-05	6.485419e-03
MSL2	male-specific lethal 2 homolog (Drosophila)	1738	34	0	2	6	1	0	4	11	11	8	4.449047e-04	3.900000e-03	5.168000e-01	6.222619e-08	5.341488e-01	5.274587e-01	4.203807e-05	6.524164e-03
TMC1	transmembrane channel-like 1	2359	1	0	2	11	1	2	0	14	14	12	7.776696e-02	2.000000e-05	9.301000e-01	6.496077e-05	9.271034e-01	9.153539e-01	4.255616e-05	6.548600e-03
KRTAP5-1	keratin associated protein 5-1	837	9	0	1	1	0	0	4	5	5	3	4.769748e-02	4.400000e-04	6.114000e-02	1.411345e-05	6.224513e-02	1.308995e-01	4.544102e-05	6.933766e-03
IL4R	interleukin 4 receptor	2553	2	1	4	10	1	1	0	12	12	9	5.755431e-02	4.000000e-05	7.365200e-01	3.345461e-05	7.371032e-01	7.996740e-01	4.688210e-05	7.094043e-03
MUC6	mucin 6, oligomeric mucus/gel-forming	7448	1	2	9	17	1	0	6	24	23	21	5.728561e-01	1.402000e-02	3.800000e-04	2.135428e-08	3.301133e-04	5.041716e-01	7.487256e-05	1.123583e-02
PABPC1	poly(A) binding protein, cytoplasmic 1	1966	6	0	2	11	0	1	0	12	12	9	7.830752e-03	7.500000e-04	9.669500e-01	5.666551e-05	9.656273e-01	6.984817e-01	7.661491e-05	1.140306e-02
SCN9A	sodium channel, voltage-gated, type IX, alpha subunit	6167	39	0	9	32	0	0	13	45	42	33	2.757872e-02	6.000000e-05	7.641800e-01	1.000000e-16	7.577078e-01	4.613879e-01	8.225829e-05	1.214346e-02
OGT	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	3225	3	0	0	11	0	0	2	13	13	12	1.119187e-02	6.533333e-03	3.506667e-02	2.389715e-02	3.246766e-02	3.085829e-01	8.669994e-05	1.269595e-02
NEK5	NIMA (never in mitosis gene a)-related kinase 5	2203	6	1	0	11	0	1	1	13	13	13	1.889211e-05	1	1.470000e-01	1	1.415245e-01	1.624908e-01	8.929643e-05	1.297156e-02
EIF4A2	eukaryotic translation initiation factor 4A, isoform 2	1267	18	5	0	12	0	4	1	17	14	16	1.407895e-04	3.500000e-02	1.800000e-01	6.933139e-02	1.630137e-01	9.780741e-01	9.055567e-05	1.305008e-02
