gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	pCL2	pFN2	pCF	p	q
CD70	CD70 molecule	771	0	5	3	37	18	17	14	86	65	65	4.408957e-16	4.825800e-01	1.000000e-05	1.963604e-05	7.690282e-08	5.523420e-12	1.000000e-16	6.264483e-14
FAS	Fas (TNF receptor superfamily, member 6)	1059	14	2	1	25	17	11	20	73	65	50	1.000000e-16	1.000000e-05	5.655000e-02	3.097966e-12	5.120762e-02	8.990797e-01	1.000000e-16	6.264483e-14
HLA-A	major histocompatibility complex, class I, A	1145	2	1	2	32	21	8	14	75	65	53	1.311398e-15	9.185000e-02	1.000000e-05	2.910099e-10	6.146364e-08	2.956057e-02	1.000000e-16	6.264483e-14
EZH2	enhancer of zeste homolog 2 (Drosophila)	2351	1	1	5	67	0	1	1	69	64	17	3.351554e-16	1.000000e-05	1.000000e-05	5.684342e-14	5.812383e-07	9.028741e-01	1.000000e-16	6.264483e-14
IRF8	interferon regulatory factor 8	1333	3	2	9	44	8	0	15	67	59	43	1.040925e-15	7.000000e-05	4.560000e-03	5.792344e-11	4.070655e-03	3.676189e-02	1.000000e-16	6.264483e-14
ETV6	ets variant gene 6 (TEL oncogene)	1387	1	2	7	23	5	32	9	69	58	32	1.870337e-15	1.000000e-05	1	2.842171e-14	1.000000e+00	8.613103e-01	1.000000e-16	6.264483e-14
MEF2B	myocyte enhancer factor 2B	1272	2	1	4	45	3	5	6	59	58	45	1.000000e-16	5.515000e-02	1.850000e-03	1.000000e-16	1.902781e-03	7.340896e-01	1.000000e-16	6.264483e-14
BCL10	B-cell CLL/lymphoma 10	710	0	1	6	19	32	0	12	63	52	33	1.777433e-15	1.000000e-05	9.999400e-01	1.038178e-07	9.998453e-01	1.447019e-01	1.000000e-16	6.264483e-14
BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	2151	39	1	2	49	4	2	2	57	52	44	2.556393e-15	1.000000e-05	4.095000e-02	4.320952e-10	3.801878e-02	8.228008e-01	1.000000e-16	6.264483e-14
POU2F2	POU class 2 homeobox 2	1934	5	0	3	38	2	3	6	49	46	30	1.000000e-16	9.000000e-05	2.229200e-01	1.000000e-16	2.132887e-01	6.131503e-01	1.000000e-16	6.264483e-14
GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	1249	6	2	3	36	1	2	6	45	42	32	1.990518e-15	1.000000e-05	7.087000e-02	1.618190e-09	6.810688e-02	9.010435e-01	1.000000e-16	6.264483e-14
TOX	thymocyte selection-associated high mobility group box	1613	3	2	4	8	3	24	5	40	35	19	1.559034e-15	1.000000e-05	9.949800e-01	1.000000e-16	9.944825e-01	4.385067e-02	1.000000e-16	6.264483e-14
RHOA	ras homolog gene family, member A	739	4	1	1	32	0	0	1	33	30	20	6.136802e-15	1.000000e-05	2.196400e-01	4.595660e-07	2.145116e-01	9.823588e-01	1.000000e-16	6.264483e-14
ZNF444	zinc finger protein 444	992	4	0	1	1	0	0	29	30	30	3	3.280104e-14	1.000000e-05	7.973600e-01	1.000000e-16	7.914186e-01	4.652991e-03	1.000000e-16	6.264483e-14
HLA-C	major histocompatibility complex, class I, C	1147	4	1	0	12	6	5	4	27	24	21	1.479821e-15	3.410000e-03	2.000000e-05	5.730946e-06	6.652591e-06	5.645079e-01	1.000000e-16	6.264483e-14
IGLL5	immunoglobulin lambda-like polypeptide 5	656	0	9	41	79	3	11	10	103	67	56	7.288801e-16	8.500000e-04	7.273000e-01	1.000000e-16	7.138823e-01	7.210867e-01	1.110223e-16	6.506265e-14
PRDM1	PR domain containing 1, with ZNF domain	2513	10	1	7	27	15	22	14	78	63	59	2.813885e-16	2.540000e-02	1.150000e-02	1.000000e-16	1.066558e-02	3.590246e-05	1.110223e-16	6.506265e-14
UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)	479	25	1	0	28	4	6	4	42	38	35	1.397154e-16	9.500000e-02	3.100000e-02	3.379496e-02	2.121414e-02	2.100934e-13	2.220446e-16	1.260589e-13
B2M	beta-2-microglobulin	391	0	8	2	30	21	10	20	81	69	47	1.000000e-16	2.500000e-02	3.370000e-01	5.684342e-14	3.222405e-01	1.428683e-08	3.330669e-16	1.833584e-13
NOTCH2	Notch homolog 2 (Drosophila)	7624	1	1	5	15	28	0	14	57	53	41	9.105833e-16	8.300000e-03	9.079000e-01	1.000000e-16	9.030196e-01	7.890088e-04	4.440892e-16	2.372873e-13
GNA13	guanine nucleotide binding protein (G protein), alpha 13	1146	1	2	5	69	17	4	10	100	67	88	5.727058e-16	1.750000e-02	3.514000e-01	8.592511e-01	3.368175e-01	1.759882e-02	6.661338e-16	3.457615e-13
BTG2	BTG family, member 2	481	0	43	53	122	14	16	12	164	96	90	6.660309e-16	3.800000e-02	8.900000e-02	2.597375e-05	8.222962e-02	9.916943e-01	1.110223e-15	5.602617e-13
TMEM30A	transmembrane protein 30A	1110	12	2	0	9	26	8	14	57	52	44	9.664567e-16	3.880000e-01	2.100000e-02	1.014007e-08	2.324826e-02	3.608935e-08	1.776357e-15	8.721912e-13
CD58	CD58 molecule	790	0	5	0	21	21	4	27	73	55	59	1.523144e-15	5.900000e-02	1.160000e-01	3.858988e-02	1.041752e-01	2.527770e-04	2.553513e-15	1.220781e-12
KMT2D	myeloid/lymphoid or mixed-lineage leukemia 2	16826	8	7	22	79	94	21	101	295	209	272	1.000000e-16	1	4.210000e-01	1.604535e-05	3.694594e-01	5.917490e-02	3.774758e-15	1.714401e-12
SOCS1	suppressor of cytokine signaling 1	636	0	3	51	110	14	0	22	146	77	108	1.000000e-16	9.410000e-01	5.250000e-01	1.523378e-01	5.064653e-01	9.467392e-01	3.774758e-15	1.714401e-12
TMSB4X	thymosin beta 4, X-linked	139	0	20	10	59	20	17	19	115	99	48	1.467906e-15	9.580000e-01	6.910000e-01	2.196480e-06	6.938743e-01	1.243461e-18	5.162537e-14	2.287508e-11
PTPN6	protein tyrosine phosphatase, non-receptor type 6	2003	26	0	3	36	4	5	2	47	33	41	6.880041e-13	2.030000e-02	3.100000e-03	1.336088e-03	3.565687e-03	8.775213e-01	1.316725e-13	5.695461e-11
IKZF3	IKAROS family zinc finger 3 (Aiolos)	1559	8	0	2	29	0	2	2	33	30	23	6.486716e-10	1.000000e-05	3.600000e-04	5.042011e-11	2.621507e-04	9.764470e-01	2.183809e-13	9.226338e-11
CD7	CD7 molecule	787	20	1	0	5	0	0	11	16	15	5	9.824793e-10	1.000000e-05	8.919200e-01	1.421085e-14	8.939338e-01	4.787460e-02	3.267386e-13	1.349059e-10
GRB2	growth factor receptor-bound protein 2	670	77	0	1	10	6	5	2	23	18	21	3.015340e-13	2.290000e-01	1.040000e-01	2.046663e-01	1.058435e-01	7.807397e-02	1.025180e-12	4.138765e-10
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	2405	0	1	4	54	0	3	4	61	56	41	1.879300e-08	1.000000e-05	3.787000e-02	2.595069e-05	3.420928e-02	6.301827e-01	5.694778e-12	2.209238e-09
EEF1A1	eukaryotic translation elongation factor 1 alpha 1	1413	2	2	4	24	0	4	3	31	29	25	9.431977e-11	1.150000e-03	8.096500e-01	8.230792e-06	8.010734e-01	8.882145e-01	5.715539e-12	2.209238e-09
ZC3H12A	zinc finger CCCH-type containing 12A	1816	1	0	4	17	7	1	8	33	30	31	2.314105e-11	7.480000e-01	9.000000e-03	2.136182e-01	9.275730e-03	2.281875e-01	2.348888e-11	8.890051e-09
HVCN1	hydrogen voltage-gated channel 1	856	7	0	0	10	4	1	4	19	18	16	1.037574e-11	3.540000e-01	6.100000e-02	1.636496e-01	6.360168e-02	1.548986e-04	3.195577e-11	1.184777e-08
ACTB	actin, beta	1148	0	7	21	57	4	7	14	82	69	62	3.920683e-09	2.000000e-04	9.041875e-01	5.315726e-06	8.961166e-01	9.102657e-01	4.951217e-11	1.798975e-08
KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	726	1	0	0	25	0	0	0	25	25	13	7.886225e-09	4.000000e-05	5.956700e-01	7.105427e-14	5.819723e-01	8.596872e-02	5.723333e-11	2.038741e-08
CCND3	cyclin D3	1036	0	7	5	26	8	0	23	57	56	27	2.926964e-07	1.000000e-05	2.390800e-01	1.758167e-10	2.336278e-01	3.368497e-01	8.065848e-11	2.817928e-08
EP300	E1A binding protein p300	7365	14	3	12	51	4	4	7	66	60	56	3.206224e-07	1.000000e-05	3.630000e-03	5.684342e-14	3.014659e-03	5.198399e-01	8.806189e-11	3.018529e-08
BCL7A	B-cell CLL/lymphoma 7A	716	0	16	13	48	1	13	3	65	53	35	7.489270e-07	1.000000e-05	2.759000e-02	5.684342e-14	2.590018e-02	7.897363e-01	1.993460e-10	6.706516e-08
ZEB2	zinc finger E-box binding homeobox 2	3677	23	3	5	7	9	9	17	42	38	36	2.296244e-10	4.600000e-02	9.970000e-01	2.713648e-09	9.982122e-01	2.821802e-01	3.583241e-10	1.183577e-07
E2F5	E2F transcription factor 5, p130-binding	1076	22	1	1	19	0	1	0	20	20	2	2.419750e-06	1.000000e-05	1	1.000000e-16	1.000000e+00	8.622052e-08	6.156998e-10	1.997396e-07
CD83	CD83 molecule	634	0	18	9	29	5	17	1	52	39	33	3.117710e-06	1.000000e-05	5.530800e-01	3.324058e-06	5.380852e-01	5.781422e-01	7.853930e-10	2.503199e-07
HIST1H2AM	histone cluster 1, H2am	393	0	7	25	40	1	0	3	44	42	24	4.954159e-06	1.000000e-05	1.346500e-01	6.378968e-09	1.245825e-01	9.505452e-01	1.225075e-09	3.837230e-07
CD274	CD274 molecule	893	17	1	0	8	2	7	4	21	17	20	1.320668e-09	7.700000e-02	2.290000e-01	1.414881e-01	2.228141e-01	1.187636e-03	1.427672e-09	4.396019e-07
HIST1H1B	histone cluster 1, H1b	681	1	2	19	60	0	0	7	67	57	48	5.412648e-07	2.000000e-05	8.097200e-01	2.257349e-07	7.997968e-01	9.814019e-01	1.588550e-09	4.809865e-07
ARHGAP25	Rho GTPase activating protein 25	2340	9	0	7	11	11	3	2	27	25	20	1.014464e-05	2.000000e-05	3.353200e-01	4.135069e-04	3.312352e-01	6.197465e-01	2.435880e-09	7.254529e-07
SPEN	spen homolog, transcriptional regulator (Drosophila)	11051	10	2	12	34	24	0	13	71	59	70	3.632079e-10	2.720000e-01	5.300000e-01	1	5.189886e-01	5.387722e-02	2.675178e-09	7.838704e-07
HIST1H2AC	histone cluster 1, H2ac	397	0	1	38	40	5	1	6	52	44	40	3.794669e-08	1.750000e-03	9.172500e-01	7.051476e-02	9.121377e-01	7.807478e-01	3.023695e-09	8.719279e-07
C9orf43	chromosome 9 open reading frame 43	1434	4	0	2	3	0	0	13	16	16	4	1.324660e-05	1.000000e-05	9.984600e-01	1.000000e-16	9.985924e-01	2.534377e-04	3.145365e-09	8.928413e-07
CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	939	1	3	4	9	23	3	0	35	33	17	4.661073e-07	3.993600e-01	5.000000e-05	1.000000e-16	5.300255e-05	2.518365e-10	3.312705e-09	9.258757e-07
HIST1H1D	histone cluster 1, H1d	666	1	0	9	54	0	0	1	55	47	37	1.707651e-05	1.000000e-05	6.835300e-01	3.390566e-02	6.724064e-01	9.858713e-01	4.011397e-09	1.104167e-06
FADD	Fas (TNFRSF6)-associated via death domain	631	43	0	0	14	2	1	3	20	15	19	1.747226e-08	6.055000e-01	6.600000e-03	1.534851e-01	5.709594e-03	8.498409e-01	8.376481e-09	2.271277e-06
PRKCB	protein kinase C, beta	2241	19	1	4	29	0	0	1	30	29	24	4.271177e-05	1.000000e-05	7.178900e-01	7.172704e-04	7.106950e-01	5.891437e-01	9.641738e-09	2.575904e-06
TNIP1	TNFAIP3 interacting protein 1	2046	7	1	1	17	6	1	4	28	23	27	1.162517e-08	4.590000e-01	1.600000e-02	1.165041e-01	1.439487e-02	1.816128e-01	1.095658e-08	2.884755e-06
SGK1	serum/glucocorticoid regulated kinase 1	2212	0	54	59	172	6	50	6	234	87	135	5.540547e-05	1.000000e-05	1.800000e-04	4.649792e-11	1.963089e-04	9.999988e-01	1.236304e-08	3.208563e-06
POU2AF1	POU class 2 associating factor 1	787	8	2	2	7	1	11	1	20	20	10	8.760814e-06	2.440000e-03	5.900000e-03	8.640200e-11	5.415372e-03	4.553073e-01	1.362181e-08	3.485456e-06
OR8I2	olfactory receptor, family 8, subfamily I, member 2	933	41	0	2	14	0	0	13	27	27	16	6.226433e-05	1.000000e-05	1.618500e-01	1.421085e-14	1.578803e-01	2.925346e-01	1.382084e-08	3.487267e-06
HLA-DMB	major histocompatibility complex, class II, DM beta	839	1	3	4	17	3	5	7	32	26	30	3.182486e-08	3.410000e-01	1.600000e-02	3.219564e-01	1.611114e-02	2.174483e-01	1.813157e-08	4.512276e-06
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	2624	17	0	3	28	0	0	0	28	24	13	8.985921e-05	1.000000e-05	1.000000e-05	1.000000e-16	6.994405e-15	1.273606e-01	1.961644e-08	4.815835e-06
ZFP36L1	zinc finger protein 36, C3H type-like 1	1729	0	6	34	46	6	26	5	83	59	48	1.248931e-05	8.000000e-05	8.780000e-03	1.000000e-16	7.633865e-03	9.624375e-01	2.940763e-08	7.123313e-06
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	1578	1	4	6	43	2	4	4	53	44	31	1.698176e-04	1.000000e-05	1	2.842171e-14	9.999893e-01	9.802222e-01	3.599066e-08	8.603188e-06
RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	757	4	3	1	16	0	1	0	17	17	11	1.104574e-05	1.000000e-04	3.118600e-01	5.327039e-06	3.036448e-01	8.240595e-01	3.738550e-08	8.820549e-06
DTX1	deltex homolog 1 (Drosophila)	1895	0	13	70	125	11	5	9	150	97	99	3.302182e-04	1.000000e-05	9.986300e-01	4.864231e-04	9.982157e-01	9.726521e-01	6.778945e-08	1.578886e-05
CXCR5	chemokine (C-X-C motif) receptor 5	1123	0	2	6	12	4	0	9	25	22	18	4.124696e-05	8.000000e-05	9.051300e-01	1.611986e-08	9.033211e-01	3.238772e-01	1.153171e-07	2.651855e-05
ARID1A	AT rich interactive domain 1A (SWI-like)	6934	15	0	12	20	13	1	14	48	44	47	1.035087e-08	1	8.910000e-01	1	8.649678e-01	8.156316e-01	2.006640e-07	4.556828e-05
ZC3H18	zinc finger CCCH-type containing 18	3002	6	0	7	12	4	2	12	30	29	23	6.609954e-05	5.000000e-05	9.066900e-01	1.904255e-12	9.034086e-01	6.488192e-02	2.047995e-07	4.593324e-05
LTB	lymphotoxin beta (TNF superfamily, member 3)	751	0	21	21	39	6	19	3	67	51	51	2.634721e-08	2.450000e-01	8.920000e-01	3.468460e-02	8.878072e-01	9.210925e-02	3.205513e-07	7.052726e-05
YY1	YY1 transcription factor	1261	4	0	2	12	7	1	2	22	22	21	1.706086e-08	8.570000e-01	8.300000e-01	1.677747e-01	8.132846e-01	5.603389e-01	3.222195e-07	7.052726e-05
PAX5	paired box 5	1243	2	4	3	23	1	8	0	32	26	23	4.095867e-04	3.000000e-05	9.335600e-01	2.308124e-01	9.308871e-01	1.928452e-01	6.678088e-07	1.444296e-04
DAZAP1	DAZ associated protein 1	1361	2	0	4	11	10	0	3	24	24	17	3.505291e-04	8.000000e-05	2.257000e-01	4.129339e-06	2.213220e-01	5.286332e-01	7.564733e-07	1.616806e-04
SKP1	S-phase kinase-associated protein 1	568	73	0	1	0	0	0	5	5	5	1	4.381772e-03	1.000000e-05	9.067200e-01	9.340084e-12	9.064750e-01	1.595865e-01	7.862314e-07	1.660868e-04
KLHL6	kelch-like 6 (Drosophila)	1890	0	9	10	84	5	2	1	92	70	62	4.687274e-03	1.000000e-05	1.108600e-01	2.523848e-11	1.046614e-01	5.211348e-01	8.378891e-07	1.749647e-04
BTK	Bruton agammaglobulinemia tyrosine kinase	2048	6	0	1	16	1	1	1	19	19	15	5.487694e-04	3.000000e-05	3.345800e-01	8.018701e-02	3.301481e-01	3.302524e-02	8.802908e-07	1.817300e-04
PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	2	2	1	19	6	2	3	30	26	27	5.776471e-07	5.300000e-02	8.500000e-01	2.306495e-01	8.637236e-01	8.328357e-02	9.142562e-07	1.866213e-04
SMO	smoothened homolog (Drosophila)	2408	5	0	4	11	0	1	11	23	23	14	6.119675e-04	4.000000e-05	9.996600e-01	1.421085e-14	9.996900e-01	3.046983e-02	1.279760e-06	2.583266e-04
NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2	1099	12	0	2	2	1	1	6	10	10	5	7.593863e-03	1.000000e-05	7.149400e-01	1.696137e-10	7.140261e-01	3.375834e-01	1.320826e-06	2.636863e-04
DUSP2	dual specificity phosphatase 2	957	0	32	71	94	4	9	8	115	71	73	8.250149e-08	9.860000e-01	8.530000e-01	1.441670e-05	8.626895e-01	8.634066e-01	1.428138e-06	2.820107e-04
MAP2K1	mitogen-activated protein kinase kinase 1	1264	2	0	5	22	0	1	0	23	23	16	1.096347e-02	1.000000e-05	1.234900e-01	4.271483e-06	1.176693e-01	5.963043e-01	1.866652e-06	3.646394e-04
CCDC159	coiled-coil domain containing 159	934	7	2	0	4	0	0	8	12	8	5	1.164223e-02	6.000000e-05	3.094100e-01	8.452934e-08	3.088552e-01	4.635808e-01	1.975226e-06	3.817440e-04
TLR2	toll-like receptor 2	2355	6	1	1	20	1	0	0	21	21	14	1.286135e-02	1.000000e-05	5.780100e-01	7.247536e-13	5.751587e-01	9.006860e-01	2.169253e-06	4.148297e-04
IL6	interleukin 6 (interferon, beta 2)	937	33	0	1	14	4	0	1	19	16	16	9.234751e-07	1.490000e-01	7.850000e-01	6.231672e-04	7.681256e-01	2.524338e-01	2.674407e-06	5.061037e-04
ARIH1	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	1726	3	2	4	1	0	0	11	12	12	2	1.906041e-02	1.000000e-05	1	1.000000e-16	1	9.816743e-04	3.139834e-06	5.880554e-04
EIF5	eukaryotic translation initiation factor 5	1332	43	4	0	3	0	0	7	10	10	5	1.904642e-03	6.000000e-05	9.864800e-01	3.552714e-14	9.865350e-01	1.981369e-01	3.723533e-06	6.902594e-04
AUNIP	aurora kinase A and ninein interacting protein	1155	15	0	1	1	0	0	6	7	7	2	2.948492e-02	1.000000e-05	7.054100e-01	1.421085e-14	7.051681e-01	2.702115e-01	4.728438e-06	8.676922e-04
C2orf16	chromosome 2 open reading frame 16	5955	3	0	3	16	1	0	7	24	20	18	3.256912e-02	1.000000e-05	1.123000e-01	1.000000e-16	1.072841e-01	4.238416e-01	5.190644e-06	9.419065e-04
SLC22A16	solute carrier family 22 (organic cation/carnitine transporter), member 16	1909	0	0	1	15	0	0	0	15	15	11	1.095887e-02	8.000000e-05	2.334000e-01	1.229735e-04	2.295777e-01	9.922702e-01	5.236559e-06	9.419065e-04
AVPR1B	arginine vasopressin receptor 1B	1279	7	1	2	11	2	0	0	13	11	7	3.378041e-02	1.000000e-05	1.945900e-01	9.976816e-05	1.943475e-01	7.268019e-01	5.371355e-06	9.566805e-04
VEZF1	vascular endothelial zinc finger 1	1594	15	1	2	3	1	0	7	11	11	6	3.582708e-03	3.000000e-05	9.915600e-01	6.394885e-14	9.915092e-01	1.575180e-01	5.675718e-06	1.001075e-03
BRAF	v-raf murine sarcoma viral oncogene homolog B1	2369	0	3	4	31	0	5	0	36	34	23	4.122082e-02	1.000000e-05	1.406500e-01	1.051889e-03	1.342290e-01	8.377165e-01	6.472385e-06	1.130614e-03
EBF1	early B-cell factor 1	1836	0	19	8	62	11	18	4	95	77	76	4.744846e-03	8.000000e-05	2.395300e-01	2.077069e-02	2.214279e-01	8.719970e-01	6.690117e-06	1.157518e-03
PFN1	profilin 1	453	14	0	1	5	0	6	0	11	10	7	5.610699e-05	3.331000e-01	3.400000e-03	2.149000e-06	2.985340e-03	5.890190e-01	7.091562e-06	1.215400e-03
EIF4A2	eukaryotic translation initiation factor 4A, isoform 2	1267	5	7	1	16	0	5	1	22	19	20	8.484666e-04	1.133333e-03	3.873333e-02	1.264564e-01	3.789579e-02	9.917938e-01	7.475356e-06	1.269204e-03
ANKRD40	ankyrin repeat domain 40	1123	1	0	0	6	0	0	4	10	10	7	1.476121e-04	2.200000e-03	6.254000e-01	1.460822e-07	6.150134e-01	5.177701e-02	7.995513e-06	1.340557e-03
RC3H1	ring finger and CCCH-type zinc finger domains 1	3477	3	1	0	21	1	0	1	23	21	20	2.888538e-04	1.860000e-02	2.390000e-02	1.093314e-04	2.511983e-02	4.363258e-01	8.043193e-06	1.340557e-03
BCOR	BCL6 co-repressor	5398	2	2	4	26	8	0	4	38	35	32	2.434196e-04	2.000000e-03	3.059000e-01	3.694822e-13	2.836680e-01	2.278689e-10	8.619443e-06	1.423540e-03
RNPS1	RNA binding protein S1, serine-rich domain	1013	3	0	1	3	0	0	6	9	9	4	6.273479e-04	4.250000e-04	9.844000e-01	9.237056e-14	9.831599e-01	4.613832e-03	9.362795e-06	1.532377e-03
RAB5B	RAB5B, member RAS oncogene family	664	4	0	0	5	0	0	3	8	8	6	7.863454e-05	7.200000e-03	9.195000e-01	1.247933e-04	9.195572e-01	2.966530e-02	1.061837e-05	1.722356e-03
DACH1	dachshund homolog 1 (Drosophila)	2327	0	3	12	13	1	1	30	45	41	18	8.105546e-02	1.000000e-05	1	2.842171e-14	1	8.123130e-07	1.217903e-05	1.958021e-03
DCDC2B	doublecortin domain containing 2B	1082	16	0	1	2	1	0	5	8	8	4	4.232316e-03	5.000000e-05	9.891500e-01	4.015988e-11	9.891045e-01	1.132095e-01	1.503306e-05	2.395664e-03
CCDC27	coiled-coil domain containing 27	2015	37	2	2	6	0	0	5	11	11	4	1.153426e-01	1.000000e-05	3.554000e-02	2.773959e-11	3.544785e-02	9.649232e-01	1.692396e-05	2.673543e-03
TET2	tet oncogene family member 2	6197	0	0	2	13	13	0	13	39	37	36	4.474552e-05	5.000000e-02	2.800000e-02	1.019629e-01	2.641517e-02	7.629964e-01	1.888683e-05	2.957906e-03
VMP1	vacuole membrane protein 1	1261	0	17	20	37	3	5	3	48	41	34	1.758163e-01	1.000000e-05	4.259700e-01	5.400125e-12	4.168835e-01	9.945512e-01	2.505601e-05	3.890534e-03
ESX1	ESX homeobox 1	1233	0	0	5	18	0	1	1	20	18	11	1.816757e-01	1.000000e-05	3.025000e-02	1.000000e-16	2.970941e-02	9.931994e-01	2.583149e-05	3.976954e-03
COPS6	COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)	1020	4	1	4	4	0	0	5	9	9	5	5.372621e-02	1.000000e-05	9.836500e-01	1.142269e-10	9.830235e-01	4.020993e-02	3.019517e-05	4.609712e-03
OR6K2	olfactory receptor, family 6, subfamily K, member 2	975	18	0	1	2	0	0	11	13	8	5	2.832458e-02	2.000000e-05	9.630000e-01	5.820447e-05	9.636231e-01	1.588717e-01	3.171789e-05	4.801824e-03
SCN9A	sodium channel, voltage-gated, type IX, alpha subunit	6167	2	0	12	38	1	1	17	57	53	42	2.089178e-02	2.000000e-05	7.043800e-01	5.684342e-14	6.925339e-01	2.790833e-01	3.213526e-05	4.824804e-03
OR51B6	olfactory receptor, family 51, subfamily B, member 6	939	5	0	1	18	0	0	0	18	16	6	2.370196e-01	1.000000e-05	9.656400e-01	1.000000e-16	9.645653e-01	9.999999e-01	3.307025e-05	4.924485e-03
LAG3	lymphocyte-activation gene 3	1630	7	1	2	3	1	1	4	9	9	6	1.409027e-02	9.000000e-05	9.880900e-01	3.129798e-05	9.882074e-01	9.424151e-02	3.339586e-05	4.932542e-03
IL4R	interleukin 4 receptor	2553	20	1	4	11	2	1	0	14	14	11	1.490426e-02	1.600000e-04	4.384400e-01	5.531943e-05	4.366901e-01	7.182108e-01	3.900703e-05	5.714845e-03
OR10V1	olfactory receptor, family 10, subfamily V, member 1	930	3	0	0	3	6	0	0	9	9	4	8.033947e-04	3.210000e-02	9.900000e-03	1.207923e-13	1.098636e-02	9.994471e-01	4.487447e-05	6.521877e-03
RUSC1	RUN and SH3 domain containing 1	2871	1	2	0	11	0	0	1	12	12	7	4.915332e-02	2.000000e-05	5.404900e-01	1.421085e-14	5.405174e-01	6.802949e-01	4.672455e-05	6.736864e-03
