rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
29	TNFRSF14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	880	6	0	4	44	31	21	17	113	101	87	6.620117e-16	1.842000e-01	9.100000e-03	6.661338e-16	4.207439e-13
30	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	2405	2	0	1	15	34	6	54	109	92	94	1.000000e-16	1.670000e-01	5.920000e-01	1.221245e-15	7.456517e-13
31	GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	1109	2	0	3	36	1	2	6	45	42	32	4.805007e-12	1.000000e-05	1.382200e-01	1.887379e-15	1.115198e-12
32	CD58	CD58 molecule	775	17	0	0	21	21	4	27	73	55	59	4.629367e-16	1.330000e-01	2.520000e-01	4.773959e-15	2.732644e-12
33	MLL2	myeloid/lymphoid or mixed-lineage leukemia 2	16826	5	0	22	79	94	21	100	294	209	271	3.630235e-16	1	8.550000e-01	1.332268e-14	7.394893e-12
34	CD83	CD83 molecule	634	2	0	9	29	5	17	1	52	39	33	5.339678e-11	1.000000e-05	6.691000e-01	1.931788e-14	1.040722e-11
35	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	974	0	0	6	17	17	7	9	50	33	39	5.816337e-14	2.500000e-02	9.200000e-01	9.248158e-14	4.839957e-11
36	TET2	tet oncogene family member 2	6134	0	0	2	13	13	0	13	39	37	36	2.365894e-13	7.500000e-02	4.900000e-02	2.229328e-13	1.134294e-10
37	HLA-DMB	major histocompatibility complex, class II, DM beta	812	14	0	3	17	3	5	7	32	26	30	3.629072e-13	1.330000e-01	3.200000e-02	2.671197e-13	1.322387e-10
38	ZC3H12A	zinc finger CCCH-type containing 12A	1820	4	0	4	17	7	1	8	33	30	31	2.044354e-13	5.860000e-01	2.000000e-02	3.527179e-13	1.700193e-10
39	ARIH1	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	1726	2	0	4	1	0	0	11	12	12	2	2.242517e-09	1.000000e-05	1	7.271961e-13	3.415398e-10
40	HVCN1	hydrogen voltage-gated channel 1	846	12	0	0	10	4	1	4	19	18	16	6.136887e-12	1.920000e-02	2.550000e-02	1.061706e-12	4.861818e-10
41	CD7	CD7 molecule	735	3	0	0	5	0	0	11	16	15	5	3.793260e-10	3.000000e-05	9.306900e-01	1.443845e-12	6.450466e-10
42	TMSB4X	thymosin beta 4, X-linked	143	0	0	10	59	20	8	17	104	89	47	1.334792e-13	1.870000e-01	9.400000e-01	1.860179e-12	8.091818e-10
43	SMO	smoothened homolog (Drosophila)	2408	2	0	4	11	0	1	11	23	23	14	4.648183e-10	6.000000e-05	9.995800e-01	1.899592e-12	8.091818e-10
44	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	13	0	12	20	13	1	14	48	44	47	1.176498e-13	5.440000e-01	9.190000e-01	2.517431e-12	1.047995e-09
45	KLHL6	kelch-like 6 (Drosophila)	1892	6	0	10	84	5	2	1	92	70	62	1.081509e-08	1.000000e-05	5.368200e-01	3.336997e-12	1.348760e-09
46	IRF2BP2	interferon regulatory factor 2 binding protein 2	1770	0	0	18	51	4	0	32	87	66	59	5.632383e-11	9.500000e-04	1	3.387179e-12	1.348760e-09
47	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	70	0	1	19	6	2	3	30	26	27	3.087801e-12	3.300000e-02	9.520000e-01	4.890865e-12	1.906085e-09
48	EBF1	early B-cell factor 1	1836	2	0	8	62	11	18	4	95	77	76	3.995970e-10	1.875000e-04	3.916375e-01	5.163425e-12	1.970385e-09
49	CXCR4	chemokine (C-X-C motif) receptor 4	1090	0	3	4	10	1	8	2	21	20	15	4.423834e-11	2.900000e-03	4.113000e-01	6.924350e-12	2.588435e-09
50	POU2AF1	POU class 2 associating factor 1	787	4	0	2	7	1	11	0	19	19	9	2.002331e-10	1.033333e-03	2.816667e-02	8.382517e-12	3.070851e-09
51	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	1417	8	0	4	24	0	4	3	31	29	25	5.966426e-11	3.100000e-03	9.419000e-01	1.351086e-11	4.794827e-09
52	SPEN	spen homolog, transcriptional regulator (Drosophila)	11051	1	0	12	34	24	0	13	71	59	70	1.794484e-12	2.090000e-01	5.400000e-01	1.361200e-11	4.794827e-09
53	PTPN6	protein tyrosine phosphatase, non-receptor type 6	2165	19	0	3	36	4	5	2	47	33	41	3.911829e-10	9.600000e-03	4.000000e-03	1.711276e-11	5.914233e-09
54	BRAF	v-raf murine sarcoma viral oncogene homolog B1	2371	18	0	4	31	0	5	0	36	34	23	7.497583e-08	1.000000e-05	1.149600e-01	2.168232e-11	7.354724e-09
55	NFKBIE	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	1525	1	0	4	17	5	2	22	46	33	31	6.453424e-11	4.600000e-03	2.094000e-01	2.308953e-11	7.689653e-09
56	IRF8	interferon regulatory factor 8	1312	0	0	9	44	8	0	15	67	59	43	3.657970e-07	1.000000e-05	2.294000e-02	9.998735e-11	3.270479e-08
57	DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	2053	14	0	3	27	4	2	3	36	32	33	6.973175e-10	6.000000e-03	2.584000e-01	1.064839e-10	3.421871e-08
58	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	603	13	0	1	16	0	1	0	17	17	11	1.611279e-08	2.000000e-04	7.507000e-01	1.307814e-10	4.130211e-08
59	DAZAP1	DAZ associated protein 1	1361	9	0	4	11	10	0	3	24	24	17	4.780464e-08	4.000000e-05	2.564700e-01	1.665770e-10	5.171509e-08
60	IKZF3	IKAROS family zinc finger 3 (Aiolos)	1560	21	0	2	29	0	2	1	32	29	22	1.766247e-06	1.000000e-05	7.800000e-04	4.549778e-10	1.388971e-07
61	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	2408	1	0	4	54	0	3	4	61	56	41	2.527935e-06	1.000000e-05	2.662100e-01	6.421215e-10	1.928154e-07
62	ACTB	actin, beta	1148	0	1	21	57	4	3	14	78	67	61	2.961419e-06	1.000000e-05	9.928200e-01	7.475441e-10	2.208511e-07
63	PAX5	paired box 5	1212	4	1	3	23	1	8	0	32	26	23	4.541001e-06	1.000000e-05	9.987400e-01	1.126862e-09	3.276308e-07
64	FADD	Fas (TNFRSF6)-associated via death domain	631	26	0	0	14	2	1	3	20	15	19	1.546547e-09	7.894000e-01	4.700000e-03	2.028707e-09	5.806223e-07
65	ARHGAP25	Rho GTPase activating protein 25	2019	0	0	7	11	11	3	2	27	25	20	1.057877e-05	1.000000e-05	3.994400e-01	2.535687e-09	7.145567e-07
66	DACH1	dachshund homolog 1 (Drosophila)	2167	0	0	12	13	1	1	30	45	41	18	1.409713e-05	1.000000e-05	1	3.338547e-09	9.265480e-07
67	CXCR5	chemokine (C-X-C motif) receptor 5	1123	0	0	6	12	4	0	9	25	22	18	2.109869e-07	2.142857e-04	9.404143e-01	3.763234e-09	1.028823e-06
68	CD79B	CD79b molecule, immunoglobulin-associated beta	715	0	0	12	102	2	18	10	132	108	46	2.318584e-05	1.000000e-05	1.000000e-05	5.375612e-09	1.448016e-06
69	OR8I2	olfactory receptor, family 8, subfamily I, member 2	932	6	0	2	14	0	0	13	27	27	16	3.694254e-05	1.000000e-05	2.146600e-01	8.393003e-09	2.228038e-06
70	CD274	CD274 molecule	897	10	0	0	8	2	7	4	21	17	20	4.499014e-09	1.450000e-01	2.760000e-01	1.215677e-08	3.181079e-06
71	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	1587	6	0	1	10	2	5	8	25	23	22	1.045267e-08	3.500000e-02	5.450000e-01	1.347324e-08	3.475907e-06
72	GRB2	growth factor receptor-bound protein 2	670	38	0	1	10	6	5	2	23	18	21	1.179095e-09	3.310000e-01	6.960000e-01	1.419378e-08	3.610936e-06
73	YY1	YY1 transcription factor	1261	7	0	2	12	7	1	2	22	22	21	8.180727e-10	8.490000e-01	8.170000e-01	1.793548e-08	4.500332e-06
74	E2F5	E2F transcription factor 5, p130-binding	1071	35	0	1	19	0	1	0	20	20	2	1.335018e-04	1.000000e-05	1	2.861519e-08	7.083034e-06
75	OLIG1	oligodendrocyte transcription factor 1	817	1	0	1	5	0	0	4	9	9	4	2.059546e-05	1.000000e-05	8.497300e-01	4.736136e-08	1.156691e-05
76	C2orf16	chromosome 2 open reading frame 16	5957	4	0	3	16	1	0	7	24	20	18	8.611479e-05	1.000000e-05	3.200700e-01	7.056749e-08	1.700769e-05
77	SOCS1	suppressor of cytokine signaling 1	640	0	3	51	110	14	0	22	146	77	108	1.255933e-08	1.910000e-01	9.770000e-01	8.632123e-08	2.053436e-05
78	TNIP1	TNFAIP3 interacting protein 1	1979	4	0	1	17	6	1	4	28	23	27	8.288223e-07	1.490000e-02	2.560000e-02	1.063795e-07	2.498145e-05
79	BCOR	BCL6 co-repressor	5324	1	0	4	26	8	0	4	38	35	32	3.354796e-07	9.000000e-03	5.047000e-01	1.126878e-07	2.612787e-05
80	EP300	E1A binding protein p300	7365	3	0	12	51	4	4	7	66	60	56	6.294427e-04	1.000000e-05	5.740000e-03	1.251559e-07	2.865600e-05
81	C9orf43	chromosome 9 open reading frame 43	1813	14	0	2	3	0	0	13	16	16	4	6.538789e-04	1.000000e-05	9.988500e-01	1.297656e-07	2.934466e-05
82	ZC3H18	zinc finger CCCH-type containing 18	2930	3	0	7	12	4	2	12	30	29	23	2.716205e-06	1.700000e-03	9.654000e-01	1.951269e-07	4.358707e-05
83	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	2153	0	0	2	49	4	2	2	57	52	44	1.157285e-03	1.000000e-05	1.087600e-01	2.230620e-07	4.922683e-05
84	SCN9A	sodium channel, voltage-gated, type IX, alpha subunit	6038	18	0	12	38	1	1	17	57	53	42	1.144751e-04	4.000000e-05	8.238400e-01	2.416478e-07	5.269360e-05
85	NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2	1103	46	0	2	2	1	1	6	10	10	5	1.530398e-03	1.000000e-05	7.987200e-01	2.907015e-07	6.224498e-05
86	GGT6	gamma-glutamyltransferase 6	1496	6	0	0	8	0	1	0	9	7	4	1.538982e-03	1.000000e-05	9.414100e-01	2.922459e-07	6.224498e-05
87	BTK	Bruton agammaglobulinemia tyrosine kinase	2052	12	0	1	16	1	1	1	19	19	15	3.947574e-04	2.000000e-05	5.158500e-01	4.395641e-07	9.254592e-05
88	NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	7800	1	0	16	24	6	0	9	39	34	32	4.890769e-06	2.900000e-03	1	5.043050e-07	1.049699e-04
89	IL6	interleukin 6 (interferon, beta 2)	655	11	0	1	14	4	0	1	19	16	16	2.005736e-07	9.400000e-02	9.420000e-01	5.685046e-07	1.170034e-04
90	OR51B6	olfactory receptor, family 51, subfamily B, member 6	938	46	0	1	18	0	0	0	18	16	6	4.264509e-03	1.000000e-05	9.910700e-01	7.663473e-07	1.559687e-04
91	EZH2	enhancer of zeste homolog 2 (Drosophila)	2332	4	0	5	67	0	1	1	69	64	17	4.523198e-03	1.000000e-05	1.000000e-05	8.101708e-07	1.630758e-04
92	OR10V1	olfactory receptor, family 10, subfamily V, member 1	930	10	0	0	3	6	0	0	9	9	4	1.166273e-05	3.370000e-02	1.540000e-02	9.907674e-07	1.972596e-04
93	CLDN23	claudin 23	879	3	0	2	9	1	0	2	12	12	10	2.428392e-05	2.200000e-03	3.418000e-01	1.109839e-06	2.185906e-04
94	AVPR1B	arginine vasopressin receptor 1B	1279	55	0	2	11	2	0	0	13	11	7	6.515875e-03	1.000000e-05	5.327800e-01	1.143304e-06	2.227862e-04
95	TCL1A	T-cell leukemia/lymphoma 1A	360	3	0	3	16	3	3	1	23	19	20	1.079951e-06	4.800000e-02	3.490000e-01	1.226476e-06	2.364775e-04
96	HNRNPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	2530	0	0	11	13	13	1	3	30	28	26	2.868411e-06	1.700000e-02	1	1.579120e-06	3.012993e-04
97	GRHPR	glyoxylate reductase/hydroxypyruvate reductase	1021	0	0	15	34	3	13	3	53	34	33	1.303050e-02	1.000000e-05	9.334200e-01	2.196081e-06	4.146970e-04
98	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 (H)	1400	0	0	3	7	0	7	0	14	14	9	5.129323e-04	1.670000e-03	6.140000e-03	2.244515e-06	4.195183e-04
99	CD79A	CD79a molecule, immunoglobulin-associated alpha	697	0	0	3	4	4	1	4	13	11	12	4.986364e-06	2.700000e-02	4.740000e-01	2.422020e-06	4.469266e-04
100	SKP1	S-phase kinase-associated protein 1	535	26	0	1	0	0	0	5	5	5	1	1.457437e-02	1.000000e-05	9.513500e-01	2.439955e-06	4.469266e-04
101	XPO1	exportin 1 (CRM1 homolog, yeast)	3312	18	0	5	14	0	2	0	16	16	6	2.156094e-03	1.000000e-05	4.166400e-01	2.858626e-06	5.184302e-04
102	STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	2628	12	0	3	28	0	0	0	28	24	13	1.962264e-02	1.000000e-05	1.000000e-05	3.226746e-06	5.794540e-04
103	TLR2	toll-like receptor 2	2359	6	0	1	20	1	0	0	21	21	14	2.098154e-02	1.000000e-05	6.312500e-01	3.436155e-06	6.110685e-04
104	SLC27A6	solute carrier family 27 (fatty acid transporter), member 6	1896	4	0	4	5	0	1	7	13	13	8	4.068610e-04	2.285714e-04	4.095571e-01	3.694817e-06	6.458072e-04
105	GRK4	G protein-coupled receptor kinase 4	1939	1	0	1	4	1	0	4	9	9	7	1.195526e-04	1.300000e-03	9.651000e-01	3.702012e-06	6.458072e-04
106	HEG1	HEG homolog 1 (zebrafish)	4212	5	0	10	35	1	2	1	39	35	18	1.758611e-05	5.600000e-03	9.079000e-01	3.778242e-06	6.528874e-04
107	CCDC159	coiled-coil domain containing 159	944	20	0	0	4	0	0	8	12	8	5	2.305642e-03	1.000000e-05	8.311700e-01	4.105465e-06	7.028019e-04
108	BCL7A	B-cell CLL/lymphoma 7A	716	0	2	13	48	1	13	3	65	53	35	2.622426e-02	1.000000e-05	1.386100e-01	4.236265e-06	7.184785e-04
109	LAG3	lymphocyte-activation gene 3	1640	11	0	2	3	1	1	4	9	9	6	1.231617e-03	1.700000e-04	9.928700e-01	4.368161e-06	7.340515e-04
110	SGK1	serum/glucocorticoid regulated kinase 1	1997	0	19	59	172	6	50	6	234	87	135	2.806663e-02	1.000000e-05	5.600000e-04	4.514826e-06	7.518006e-04
111	CCDC27	coiled-coil domain containing 27	2017	8	0	2	6	0	0	5	11	11	4	2.853774e-02	1.000000e-05	3.360300e-01	4.585858e-06	7.567493e-04
112	HIST1H1D	histone cluster 1, H1d	670	1	0	9	54	0	0	1	55	47	37	3.385415e-02	1.000000e-05	9.539800e-01	5.382343e-06	8.802534e-04
113	IGLL5	immunoglobulin lambda-like polypeptide 5	653	0	0	41	79	3	11	10	103	67	56	3.463649e-02	1.000000e-05	9.855100e-01	5.498810e-06	8.913425e-04
114	PRKCB	protein kinase C, beta	2241	7	0	4	29	0	0	1	30	29	24	3.580170e-02	1.000000e-05	8.574800e-01	5.671951e-06	9.113432e-04
115	PFN1	profilin 1	431	46	0	1	5	0	6	0	11	10	7	9.538466e-05	7.080000e-02	7.300000e-03	6.161170e-06	9.813404e-04
116	MAP2K1	mitogen-activated protein kinase kinase 1	1224	4	0	5	22	0	1	0	23	23	16	4.124068e-02	1.000000e-05	1.010000e-01	6.475305e-06	1.022484e-03
117	PHF6	PHD finger protein 6	1241	5	0	0	3	5	1	1	10	9	10	3.724950e-06	1	4.500000e-02	6.982368e-06	1.093128e-03
118	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	1559	7	0	0	6	1	4	1	12	10	12	1.533194e-06	1	1.610000e-01	7.640452e-06	1.186018e-03
119	HIST1H1E	histone cluster 1, H1e	664	0	1	35	187	2	0	12	201	123	100	5.145848e-02	1.000000e-05	9.982900e-01	7.965724e-06	1.226119e-03
120	MSL2	male-specific lethal 2 homolog (Drosophila)	1738	3	0	5	7	2	0	6	15	15	11	4.424150e-04	9.000000e-04	8.266000e-01	8.201682e-06	1.244528e-03
121	PHF23	PHD finger protein 23	1564	8	0	1	2	2	0	2	6	5	5	1.330624e-02	2.000000e-04	1.148900e-01	8.221211e-06	1.244528e-03
122	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	2361	3	0	3	13	0	4	1	18	16	16	5.371943e-02	3.000000e-05	3.055000e-02	8.292618e-06	1.245048e-03
123	STK33	serine/threonine kinase 33	1589	60	0	2	10	0	0	6	16	16	12	2.141229e-04	2.100000e-03	7.647000e-01	9.495668e-06	1.414083e-03
124	SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein	1956	10	0	2	6	3	0	8	17	17	16	3.174630e-05	1.700000e-02	6.040000e-01	9.695166e-06	1.432148e-03
125	SON	SON DNA binding protein	7584	7	1	7	24	2	0	8	34	29	30	4.501018e-03	9.000000e-05	9.929600e-01	1.217382e-05	1.783902e-03
126	HIST1H1B	histone cluster 1, H1b	685	2	0	19	60	0	0	7	67	57	48	5.156743e-03	2.000000e-05	9.267000e-01	1.310337e-05	1.904877e-03
127	TRAF6	TNF receptor-associated factor 6	1593	8	0	1	4	7	0	0	11	11	9	2.075865e-04	2.600000e-03	4.107000e-01	1.390339e-05	2.005263e-03
128	RFTN1	raftlin, lipid raft linker 1	1773	0	0	13	27	3	7	1	38	32	32	3.549289e-03	1.300000e-04	9.855500e-01	1.423863e-05	2.037571e-03
129	LTB	lymphotoxin beta (TNF superfamily, member 3)	749	0	0	21	39	6	19	3	67	51	51	3.133476e-06	2.250000e-01	9.030000e-01	1.644796e-05	2.300634e-03
130	CCDC105	coiled-coil domain containing 105	1526	4	0	2	9	0	0	7	16	15	14	4.720837e-06	1.520000e-01	8.570000e-01	1.645053e-05	2.300634e-03
131	ARID5B	AT rich interactive domain 5B (MRF1-like)	3603	2	0	13	23	3	4	0	30	26	28	1.119073e-01	1.000000e-05	7.990000e-02	1.645374e-05	2.300634e-03
132	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	2624	10	0	8	25	8	0	0	33	29	23	1.214156e-01	1.000000e-05	7.145000e-02	1.775273e-05	2.463461e-03
133	AZU1	azurocidin 1 (cationic antimicrobial protein 37)	774	2	0	1	2	0	0	3	5	5	3	9.211983e-04	1.150000e-03	5.856000e-01	1.815369e-05	2.500159e-03
134	OR6K2	olfactory receptor, family 6, subfamily K, member 2	975	28	0	1	2	0	0	11	13	8	5	1.324850e-01	1.000000e-05	9.944100e-01	1.925565e-05	2.632132e-03
135	ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	1578	1	0	6	43	2	4	3	52	44	30	1.653556e-01	1.000000e-05	1	2.366666e-05	3.211127e-03
136	FOXO1	forkhead box O1	1976	1	0	12	52	3	0	1	56	42	38	1.756312e-01	1.000000e-05	9.495600e-01	2.503147e-05	3.371334e-03
137	KAT2B	K(lysine) acetyltransferase 2B	2567	0	0	1	7	1	2	1	11	11	9	7.052790e-03	1.777778e-04	9.730778e-01	2.667618e-05	3.566624e-03
138	EIF4A2	eukaryotic translation initiation factor 4A, isoform 2	1266	1	0	1	16	0	5	1	22	19	20	1.900024e-02	9.000000e-05	1.317200e-01	2.693027e-05	3.574505e-03
139	RFX7	regulatory factor X, 7	4415	1	0	9	8	4	1	8	21	20	20	6.358561e-06	2.450000e-01	7.740000e-01	2.794951e-05	3.683102e-03
140	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	3919	26	0	8	26	1	6	3	36	33	32	4.608745e-04	3.900000e-03	5.960000e-01	2.860996e-05	3.743205e-03
141	TIAM2	T-cell lymphoma invasion and metastasis 2	5202	9	0	9	19	5	1	4	29	23	24	2.443212e-02	3.000000e-05	2.125800e-01	3.084507e-05	4.007015e-03
142	TUBGCP5	tubulin, gamma complex associated protein 5	3208	7	0	5	19	2	0	1	22	22	14	2.250351e-01	1.000000e-05	1.742000e-02	3.151487e-05	4.065196e-03
143	BTG2	BTG family, member 2	483	0	0	53	122	14	16	10	162	94	88	1.488401e-05	3.000000e-02	6.050000e-01	3.186456e-05	4.081561e-03
144	WAC	WW domain containing adaptor with coiled-coil	1998	0	0	2	7	6	1	3	17	16	17	2.308637e-06	1	8.320000e-01	3.227210e-05	4.091725e-03
145	PIM1	pim-1 oncogene	962	0	3	312	396	36	51	23	506	190	184	2.317775e-01	1.000000e-05	1	3.239068e-05	4.091725e-03
146	ESX1	ESX homeobox 1	1235	0	0	5	18	0	1	1	20	18	11	2.586783e-01	1.000000e-05	2.584300e-01	3.586600e-05	4.499708e-03
147	CARD11	caspase recruitment domain family, member 11	3557	0	0	19	124	0	2	4	130	105	66	2.882371e-01	1.000000e-05	4.290000e-03	3.965248e-05	4.940915e-03
148	DTX1	deltex homolog 1 (Drosophila)	1895	0	0	70	125	11	5	9	150	97	99	3.228436e-01	1.000000e-05	1	4.404721e-05	5.451438e-03
149	SLAMF6	SLAM family member 6	1029	0	0	0	6	2	4	1	13	10	12	3.084030e-05	8.100000e-02	3.340000e-01	4.533924e-05	5.573683e-03
150	EIF5	eukaryotic translation initiation factor 5	1332	9	1	0	3	0	0	7	10	10	5	2.832066e-02	4.000000e-05	9.858400e-01	4.619275e-05	5.640751e-03
151	SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	811	0	0	6	11	0	2	1	14	13	11	3.488624e-01	3.737000e-02	1.300000e-04	4.732668e-05	5.740946e-03
152	EIF4A1	eukaryotic translation initiation factor 4A, isoform 1	1654	17	0	1	9	2	2	0	13	13	13	7.032615e-06	1	2.460000e-01	4.829232e-05	5.819542e-03
153	ZYX	zyxin	1758	44	0	4	8	0	0	0	8	8	6	3.598427e-01	1.000000e-05	1.738100e-01	4.870476e-05	5.830883e-03
154	TMEM49	transmembrane protein 49	1265	0	1	20	37	3	5	3	48	41	34	3.667800e-01	1.000000e-05	8.582800e-01	4.957369e-05	5.896372e-03
155	SMEK1	SMEK homolog 1, suppressor of mek1 (Dictyostelium)	2523	11	0	1	11	4	2	3	20	19	20	1.853497e-05	3.130000e-01	4.260000e-01	5.583083e-05	6.597763e-03
156	PIM2	pim-2 oncogene	956	0	0	19	34	1	3	2	40	33	28	4.261341e-01	1.000000e-05	3.615200e-01	5.695677e-05	6.687674e-03
157	SESN3	sestrin 3	1515	3	0	1	5	1	5	2	13	10	10	2.303956e-03	8.500000e-04	9.687000e-01	5.839183e-05	6.782790e-03
158	KRTAP5-1	keratin associated protein 5-1	841	19	0	1	1	0	0	4	5	5	3	9.139350e-03	3.000000e-04	7.960000e-02	5.850744e-05	6.782790e-03
