gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	pCL2	pFN2	pCF	p	q
HVCN1	hydrogen voltage-gated channel 1	856	13	0	0	7	4	1	3	15	15	12	1.131757e-10	1.870000e-01	3.200000e-02	1.152928e-01	2.694320e-02	1.502901e-05	2.133189e-10	7.308387e-08
CD7	CD7 molecule	787	59	1	0	5	0	0	9	14	13	5	7.569572e-07	1.000000e-05	8.568700e-01	2.842171e-14	8.573322e-01	6.366084e-02	9.460999e-10	3.181348e-07
C9orf43	chromosome 9 open reading frame 43	1434	4	0	2	2	0	0	12	14	14	3	4.312958e-06	1.000000e-05	9.976000e-01	1.000000e-16	9.975225e-01	2.209869e-05	1.072495e-09	3.540794e-07
SPEN	spen homolog, transcriptional regulator (Drosophila)	11051	10	2	7	30	19	0	13	62	51	61	1.970214e-10	1.670000e-01	4.420000e-01	1.090870e-01	4.298349e-01	1.177942e-01	1.138672e-09	3.692143e-07
ZC3H12A	zinc finger CCCH-type containing 12A	1816	1	0	2	14	4	0	8	26	24	25	5.407713e-10	1	2.600000e-02	1	2.765836e-02	8.187944e-02	1.217210e-09	3.877562e-07
HIST1H2AC	histone cluster 1, H2ac	397	0	1	35	36	4	1	6	47	40	38	6.454103e-09	9.400000e-03	9.740000e-01	5.303355e-02	9.712324e-01	7.639246e-01	2.403474e-09	7.524531e-07
OR8I2	olfactory receptor, family 8, subfamily I, member 2	933	41	0	2	14	0	0	12	26	26	16	1.054670e-05	1.000000e-05	1.833800e-01	1.421085e-14	1.809558e-01	2.995625e-01	2.528321e-09	7.781229e-07
PTPN6	protein tyrosine phosphatase, non-receptor type 6	2003	26	0	3	30	3	4	2	39	27	35	4.171812e-08	2.580000e-02	1.580000e-02	2.144665e-06	1.350599e-02	6.685472e-01	5.136820e-09	1.554573e-06
YY1	YY1 transcription factor	1261	39	0	1	11	6	1	1	19	19	18	3.179580e-10	7.940000e-01	6.660000e-01	1.270192e-01	6.669550e-01	6.431164e-01	7.271413e-09	2.164497e-06
ZFP36L1	zinc finger protein 36, C3H type-like 1	1729	0	6	27	32	3	23	3	61	46	37	3.477887e-05	4.000000e-05	1.600000e-04	2.842171e-14	1.944797e-04	9.147726e-01	7.922427e-09	2.320249e-06
EP300	E1A binding protein p300	7365	0	1	9	39	2	2	7	50	46	41	9.839593e-05	1.000000e-05	2.350000e-03	1.000000e-16	2.191667e-03	3.325388e-01	2.139072e-08	6.165281e-06
RHOA	ras homolog gene family, member A	739	3	1	1	25	0	0	1	26	23	17	7.109491e-07	8.500000e-04	2.571000e-01	2.132171e-05	2.547204e-01	9.445432e-01	2.309762e-08	6.553229e-06
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	1578	1	4	2	39	1	3	4	47	38	28	1.493299e-04	1.000000e-05	1	7.673862e-13	9.999994e-01	9.695340e-01	3.184054e-08	8.894778e-06
HIST1H2AM	histone cluster 1, H2am	393	0	6	22	32	1	0	3	36	34	21	1.859774e-05	6.000000e-05	3.529100e-01	1.053997e-05	3.413483e-01	9.292769e-01	3.924647e-08	1.079754e-05
PFN1	profilin 1	453	3	0	1	4	0	6	0	10	9	6	7.925473e-06	7.532500e-02	5.250000e-04	2.818140e-09	7.521294e-04	5.683506e-01	7.294019e-08	1.956929e-05
BTK	Bruton agammaglobulinemia tyrosine kinase	2048	2	0	0	13	1	1	1	16	16	13	9.557865e-06	2.000000e-04	3.456875e-01	5.694185e-02	3.370574e-01	3.712718e-02	7.328516e-08	1.956929e-05
SKP1	S-phase kinase-associated protein 1	568	9	0	0	0	0	0	5	5	5	1	7.217786e-04	1.000000e-05	9.077000e-01	9.340084e-12	9.064750e-01	1.595865e-01	1.425276e-07	3.701793e-05
SGK1	serum/glucocorticoid regulated kinase 1	2212	0	40	40	134	5	40	5	184	66	116	7.227303e-04	1.000000e-05	3.410000e-03	9.005673e-03	2.946033e-03	9.999957e-01	1.427060e-07	3.701793e-05
HIST1H1B	histone cluster 1, H1b	681	2	2	14	45	0	0	6	51	44	37	2.720790e-05	6.000000e-05	8.377000e-01	4.703987e-06	8.312743e-01	9.955830e-01	2.054450e-07	5.254184e-05
LTB	lymphotoxin beta (TNF superfamily, member 3)	751	0	18	17	34	4	14	3	55	42	44	4.075840e-07	1.270000e-02	9.765000e-01	1.942499e-02	9.753632e-01	1.177798e-01	2.320363e-07	5.851826e-05
RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	757	39	1	1	14	0	1	0	15	15	10	1.225643e-05	7.500000e-04	4.540000e-01	8.856432e-09	4.496411e-01	7.565458e-01	2.578030e-07	6.412584e-05
TNIP1	TNFAIP3 interacting protein 1	2046	7	1	0	12	4	1	4	21	17	20	1.610721e-06	1	3.700000e-03	1	3.441254e-03	1.977569e-01	3.826320e-07	9.388962e-05
ZC3H18	zinc finger CCCH-type containing 18	3002	14	0	5	9	4	2	11	26	25	19	5.836953e-05	2.428571e-04	9.275000e-01	7.105427e-13	9.255687e-01	2.300603e-01	5.210503e-07	1.261498e-04
DAZAP1	DAZ associated protein 1	1361	4	0	4	11	8	0	2	21	21	15	2.489191e-04	5.000000e-05	1.496900e-01	2.329907e-06	1.464229e-01	5.750851e-01	5.474151e-07	1.307890e-04
TLR2	toll-like receptor 2	2355	1	1	0	16	1	0	0	17	17	11	3.554534e-03	1.000000e-05	4.801600e-01	1.989520e-10	4.745150e-01	9.040578e-01	6.452353e-07	1.521582e-04
DUSP2	dual specificity phosphatase 2	957	0	26	53	81	4	7	8	100	61	63	4.523979e-08	9.200000e-01	9.990000e-01	6.644708e-06	9.980595e-01	8.924162e-01	8.103030e-07	1.886344e-04
BRAF	v-raf murine sarcoma viral oncogene homolog B1	2369	1	1	4	25	0	4	0	29	28	19	5.210994e-03	1.000000e-05	7.784000e-02	5.770708e-04	7.372797e-02	7.780566e-01	9.259889e-07	2.128368e-04
SLAMF6	SLAM family member 6	1027	0	0	0	5	2	4	1	12	9	11	7.635754e-05	1.035000e-02	2.885000e-02	3.440802e-02	2.963937e-02	1.937888e-01	1.012245e-06	2.297542e-04
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	2624	13	0	2	16	0	0	0	16	14	8	5.940297e-03	1.000000e-05	1.000000e-05	4.185097e-11	9.878027e-08	3.877325e-01	1.047804e-06	2.348893e-04
OR6K2	olfactory receptor, family 6, subfamily K, member 2	975	18	0	1	2	0	0	11	13	8	5	8.298637e-03	1.000000e-05	9.663900e-01	5.820447e-05	9.666423e-01	1.581177e-01	1.436045e-06	3.179964e-04
CD274	CD274 molecule	893	17	1	0	6	2	5	3	16	13	16	1.794559e-07	4.970000e-01	3.110000e-01	1	3.195570e-01	1.291637e-02	1.838084e-06	4.021196e-04
HIST1H2BC	histone cluster 1, H2bc	387	0	4	19	36	3	0	0	39	30	29	3.044628e-04	1.000000e-04	4.915200e-01	6.144422e-06	4.785698e-01	9.366673e-01	1.914955e-06	4.139494e-04
RNPS1	RNA binding protein S1, serine-rich domain	1013	3	0	0	2	0	0	5	7	7	3	1.040880e-03	7.000000e-05	9.813800e-01	1.944755e-11	9.811415e-01	3.706069e-02	2.110369e-06	4.508244e-04
DTX1	deltex homolog 1 (Drosophila)	1895	0	13	55	97	7	5	5	114	74	82	1.269120e-02	1.000000e-05	9.924800e-01	1.631282e-04	9.914727e-01	9.729964e-01	2.142246e-06	4.523129e-04
C2orf16	chromosome 2 open reading frame 16	5955	7	0	2	11	1	0	6	18	16	13	1.294896e-02	2.000000e-05	2.149800e-01	1.000000e-16	2.140059e-01	3.974635e-01	2.183152e-06	4.556514e-04
SMO	smoothened homolog (Drosophila)	2408	4	0	4	10	0	1	9	20	20	12	1.688090e-03	1.000000e-05	9.999800e-01	1.421085e-14	9.999796e-01	3.649406e-02	2.271176e-06	4.686365e-04
NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2	1099	22	0	2	2	1	0	5	8	8	4	1.512534e-02	1.000000e-05	7.498800e-01	5.201291e-08	7.518407e-01	4.783516e-01	2.526584e-06	5.154798e-04
MAP2K1	mitogen-activated protein kinase kinase 1	1264	2	0	5	18	0	1	0	19	19	13	1.963329e-02	1.000000e-05	1.360500e-01	1.874426e-06	1.340290e-01	7.246116e-01	3.228391e-06	6.513457e-04
PRKCB	protein kinase C, beta	2241	3	1	2	22	0	0	0	22	21	20	1.083638e-03	1.777778e-04	4.666556e-01	8.948368e-02	4.629761e-01	5.693099e-01	3.357235e-06	6.698975e-04
ARIH1	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	1726	3	2	3	1	0	0	10	11	11	2	2.530576e-02	1.000000e-05	1	1.000000e-16	1	1.351769e-03	4.096914e-06	8.086061e-04
CXCR5	chemokine (C-X-C motif) receptor 5	1123	0	1	4	8	3	0	7	18	17	13	2.588585e-04	8.000000e-04	6.897500e-01	1.647391e-06	6.890151e-01	8.568984e-02	4.965320e-06	9.694653e-04
STK33	serine/threonine kinase 33	1589	30	1	1	8	0	0	6	14	14	10	2.320536e-04	8.000000e-04	7.319000e-01	3.094556e-10	7.293979e-01	4.324595e-01	5.178451e-06	1.000322e-03
EIF5	eukaryotic translation initiation factor 5	1332	50	3	0	2	0	0	7	9	9	4	3.624629e-03	5.000000e-05	9.392200e-01	2.131628e-14	9.400378e-01	2.003615e-01	6.273703e-06	1.199136e-03
BCOR	BCL6 co-repressor	5398	2	2	1	23	6	0	3	32	29	28	2.902622e-04	3.800000e-03	1.011000e-01	1.387264e-10	9.476375e-02	2.370422e-09	6.812606e-06	1.288576e-03
ACTB	actin, beta	1148	0	7	17	35	3	5	11	54	48	45	1.919191e-05	1.700000e-02	8.990000e-01	1.114839e-02	9.049635e-01	6.646736e-01	6.900747e-06	1.291791e-03
CCDC159	coiled-coil domain containing 159	934	7	2	0	4	0	0	8	12	8	5	5.273596e-03	9.000000e-05	6.190800e-01	2.948714e-02	6.194998e-01	4.635808e-01	7.385496e-06	1.368427e-03
TET2	tet oncogene family member 2	6197	3	0	2	8	10	0	10	28	26	27	1.190128e-04	4.023500e-01	1.250000e-03	5.109730e-02	1.360869e-03	8.108682e-01	8.096998e-06	1.485029e-03
POU2AF1	POU class 2 associating factor 1	787	8	1	2	6	0	7	0	13	13	7	3.175709e-03	1.355556e-03	1.102222e-02	4.527443e-04	1.105068e-02	3.817816e-01	8.178372e-06	1.485029e-03
KLHL6	kelch-like 6 (Drosophila)	1890	0	7	9	59	5	1	0	65	50	44	6.172981e-02	1.000000e-05	8.096000e-01	6.391474e-10	8.013618e-01	4.995330e-01	9.443373e-06	1.697750e-03
PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	0	1	0	19	5	1	2	27	23	25	3.242603e-06	1.530000e-01	8.670000e-01	1.123085e-03	8.680201e-01	2.464742e-01	1.007369e-05	1.781596e-03
AVPR1B	arginine vasopressin receptor 1B	1279	8	1	1	11	1	0	0	12	10	7	7.375116e-03	8.000000e-05	2.777900e-01	7.260155e-05	2.780125e-01	8.268111e-01	1.010598e-05	1.781596e-03
RC3H1	ring finger and CCCH-type zinc finger domains 1	3477	3	1	0	17	1	0	0	18	16	15	1.101179e-03	5.633333e-03	1.430000e-02	4.608488e-05	1.505775e-02	8.055566e-01	1.110325e-05	1.938586e-03
OR10V1	olfactory receptor, family 10, subfamily V, member 1	930	3	0	0	3	5	0	0	8	8	4	1.083076e-03	2.280000e-02	5.750000e-03	7.339906e-11	6.949550e-03	9.975919e-01	1.446660e-05	2.501757e-03
CD83	CD83 molecule	634	0	14	7	20	4	12	0	36	27	26	7.208987e-04	7.500000e-04	3.240500e-01	6.969152e-03	3.174775e-01	5.002979e-01	1.494337e-05	2.559828e-03
ESX1	ESX homeobox 1	1233	0	0	4	17	0	1	1	19	17	11	1.032254e-01	2.000000e-05	4.455000e-02	1.000000e-16	4.404596e-02	9.925866e-01	1.526061e-05	2.589739e-03
RUSC1	RUN and SH3 domain containing 1	2872	1	2	0	11	0	0	1	12	12	7	9.736009e-03	3.000000e-05	5.327800e-01	1.421085e-14	5.351128e-01	6.802949e-01	1.579341e-05	2.655341e-03
RAB5B	RAB5B, member RAS oncogene family	664	20	0	0	5	0	0	3	8	8	6	1.272680e-04	8.500000e-03	9.109000e-01	1.247933e-04	9.079965e-01	2.966530e-02	1.906624e-05	3.176190e-03
CCDC27	coiled-coil domain containing 27	2015	1	2	1	4	0	0	5	9	9	4	1.611067e-01	1.000000e-05	4.645000e-02	7.581491e-12	4.661429e-02	7.685494e-01	2.310047e-05	3.813258e-03
ARHGAP25	Rho GTPase activating protein 25	2340	15	0	5	7	7	2	2	18	17	15	8.444827e-04	2.900000e-03	2.523000e-01	5.635785e-02	2.516386e-01	7.169751e-01	2.748686e-05	4.496454e-03
SCN9A	sodium channel, voltage-gated, type IX, alpha subunit	6167	39	0	9	32	0	0	13	45	42	33	2.885021e-02	2.000000e-05	7.656000e-01	1.000000e-16	7.577078e-01	4.610624e-01	2.850071e-05	4.620678e-03
VMP1	vacuole membrane protein 1	1261	0	16	12	31	2	4	3	40	33	28	2.044171e-01	1.000000e-05	3.812200e-01	9.947598e-13	3.724938e-01	9.818959e-01	2.882387e-05	4.631715e-03
IL6	interleukin 6 (interferon, beta 2)	937	33	0	1	11	4	0	1	16	13	14	1.330729e-05	1.060000e-01	8.350000e-01	3.190501e-04	8.341542e-01	3.646643e-01	3.045660e-05	4.851149e-03
TMEM82	transmembrane protein 82	1052	8	1	3	3	0	0	3	6	6	3	2.272414e-01	8.000000e-05	4.912300e-01	1.789684e-05	4.902159e-01	2.337488e-01	3.180168e-05	5.011734e-03
PAX5	paired box 5	1243	2	2	3	16	0	5	0	21	17	15	1.760749e-02	1.000000e-05	9.956600e-01	1.037590e-01	9.955842e-01	6.749545e-01	3.201681e-05	5.011734e-03
DACH1	dachshund homolog 1 (Drosophila)	2327	2	2	9	10	0	1	19	30	26	14	2.428274e-01	1.000000e-05	1	5.684342e-14	1	2.761552e-05	3.382180e-05	5.249027e-03
MSL2	male-specific lethal 2 homolog (Drosophila)	1738	34	0	2	6	1	0	4	11	11	8	4.611718e-04	3.300000e-03	5.356000e-01	6.222619e-08	5.341488e-01	5.264432e-01	3.699682e-05	5.693120e-03
OSBPL10	oxysterol binding protein-like 10	2339	0	2	34	80	3	11	3	97	67	50	2.930776e-01	1.000000e-05	9.999600e-01	5.115908e-12	9.999265e-01	5.664449e-02	4.026958e-05	6.144664e-03
OR51B6	olfactory receptor, family 51, subfamily B, member 6	939	5	0	1	14	0	0	0	14	12	5	3.013139e-01	1.000000e-05	9.468900e-01	1.222134e-12	9.466993e-01	9.999937e-01	4.131775e-05	6.252064e-03
ANKRD40	ankyrin repeat domain 40	1123	1	0	0	2	0	0	3	5	5	3	7.707027e-03	3.750000e-04	8.459500e-01	7.862741e-06	8.486495e-01	1.263924e-01	4.948654e-05	7.426253e-03
ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	364	0	2	3	23	1	2	5	31	20	22	5.693666e-04	6.200000e-03	1.875000e-01	9.389242e-05	1.822207e-01	6.790260e-01	5.282915e-05	7.862883e-03
TMC1	transmembrane channel-like 1	2359	1	0	2	11	1	2	0	14	14	12	7.805674e-02	3.000000e-05	9.298400e-01	6.496077e-05	9.271034e-01	9.154071e-01	6.215573e-05	9.175803e-03
ARID5B	AT rich interactive domain 5B (MRF1-like)	3609	0	0	10	18	2	2	0	22	19	20	4.738633e-01	1.000000e-05	6.490000e-03	4.627871e-02	6.580505e-03	8.819545e-01	6.283314e-05	9.201001e-03
EIF4A2	eukaryotic translation initiation factor 4A, isoform 2	1267	18	5	0	12	0	4	1	17	14	16	1.707227e-04	2.300000e-02	1.580000e-01	6.933139e-02	1.461801e-01	9.777877e-01	7.166250e-05	1.040998e-02
IL4R	interleukin 4 receptor	2553	2	1	4	10	1	1	0	12	12	9	5.746363e-02	6.000000e-05	7.372900e-01	3.345461e-05	7.371032e-01	8.008816e-01	7.508740e-05	1.082093e-02
