HGNC ID	Approved symbol	Approved name	Status	Previous symbols	Alias symbols	Chromosome	symbols	GSM_symbol
HGNC:7797	NFKBIA	NFKB inhibitor alpha	Approved	NFKBI	IKBA, MAD-3, IkappaBalpha	14q13.2	['IKBA', ' MAD-3', ' IkappaBalpha', 'NFKBI']	NFKBIA
HGNC:25941	TET2	tet methylcytosine dioxygenase 2	Approved	KIAA1546	FLJ20032	4q24	['FLJ20032', 'KIAA1546']	TET2
HGNC:1097	BRAF	B-Raf proto-oncogene, serine/threonine kinase	Approved		BRAF1, BRAF-1	7q34	['BRAF1', ' BRAF-1']	BRAF
HGNC:4716	H1-2	H1.2 linker histone, cluster member	Approved	H1F2, HIST1H1C	H1.2, H1s-1, H1c	6p22.2	['H1.2', ' H1s-1', ' H1c', 'H1F2', ' HIST1H1C']	HIST1H1C
HGNC:9658	PTPN6	protein tyrosine phosphatase non-receptor type 6	Approved		HCP, HCPH, PTP-1C, SHP-1, SHP1	12p13.31	['HCP', ' HCPH', ' PTP-1C', ' SHP-1', ' SHP1']	PTPN6
HGNC:12856	YY1	YY1 transcription factor	Approved		NF-E1, DELTA, UCRBP, YIN-YANG-1, INO80S	14q32.2	['NF-E1', ' DELTA', ' UCRBP', ' YIN-YANG-1', ' INO80S']	YY1
HGNC:2360	CRIP1	cysteine rich protein 1	Approved		CRIP	14q32.33	['CRIP']	CRIP1
HGNC:9802	RAC2	Rac family small GTPase 2	Approved		EN-7	22q13.1	['EN-7']	RAC2
HGNC:4719	H1-5	H1.5 linker histone, cluster member	Approved	H1F5, HIST1H1B	H1b, H1s-3	6p22.1	['H1b', ' H1s-3', 'H1F5', ' HIST1H1B']	HIST1H1B
HGNC:4735	H2AC17	H2A clustered histone 17	Approved	H2AFN, HIST1H2AM	H2A/n, H2A.1	6p22.1	['H2A/n', ' H2A.1', 'H2AFN', ' HIST1H2AM']	HIST1H2AM
HGNC:11364	STAT3	signal transducer and activator of transcription 3	Approved		APRF	17q21.2	['APRF']	STAT3
HGNC:4717	H1-3	H1.3 linker histone, cluster member	Approved	H1F3, HIST1H1D	H1.3, H1d, H1s-2	6p22.2	['H1.3', ' H1d', ' H1s-2', 'H1F3', ' HIST1H1D']	HIST1H1D
HGNC:132	ACTB	actin beta	Approved			7p22.1	['']	ACTB
HGNC:23060	SESN3	sestrin 3	Approved		SEST3, MGC29667	11q21	['SEST3', ' MGC29667']	SESN3
HGNC:8554	PABPC1	poly(A) binding protein cytoplasmic 1	Approved	PAB1, PABPC2	PABP1, PABPL1	8q22.3	['PABP1', ' PABPL1', 'PAB1', ' PABPC2']	PABPC1
HGNC:6407	KRAS	KRAS proto-oncogene, GTPase	Approved	KRAS2	KRAS1, K-Ras4B	12p12.1	['KRAS1', ' K-Ras4B', 'KRAS2']	KRAS
HGNC:4733	H2AC6	H2A clustered histone 6	Approved	H2AFL, HIST1H2AC		6p22.2	['H2AFL', ' HIST1H2AC']	HIST1H2AC
HGNC:17635	CD274	CD274 molecule	Approved	PDCD1LG1	B7-H, B7H1, PD-L1, PDL1, B7-H1	9p24.1	['B7-H', ' B7H1', ' PD-L1', ' PDL1', ' B7-H1', 'PDCD1LG1']	CD274
HGNC:32583	METAP1D	methionyl aminopeptidase type 1D, mitochondrial	Approved		MAP1D, Metap1l	2q31.1	['MAP1D', ' Metap1l']	METAP1D
HGNC:8986	PIM1	Pim-1 proto-oncogene, serine/threonine kinase	Approved	PIM		6p21.2	['PIM']	PIM1
HGNC:7562	MYD88	MYD88 innate immune signal transduction adaptor	Approved			3p22.2	['']	MYD88
HGNC:1130	BTG1	BTG anti-proliferation factor 1	Approved		APRO2	12q21.33	['APRO2']	BTG1
HGNC:1699	CD79B	CD79b molecule	Approved	IGB	B29, Ig-beta, Igbeta	17q23.3	['B29', ' Ig-beta', ' Igbeta', 'IGB']	CD79B
HGNC:38476	IGLL5	immunoglobulin lambda like polypeptide 5	Approved			22q11.22	['']	IGLL5
HGNC:3495	ETV6	ETS variant transcription factor 6	Approved		TEL	12p13.2	['TEL']	ETV6
HGNC:29529	TBL1XR1	TBL1X/Y related 1	Approved		IRA1, FLJ12894, TBLR1, C21, DC42	3q26.32	['IRA1', ' FLJ12894', ' TBLR1', ' C21', ' DC42']	TBL1XR1
HGNC:1131	BTG2	BTG anti-proliferation factor 2	Approved		PC3, TIS21, MGC126063, MGC126064, APRO1	1q32.1	['PC3', ' TIS21', ' MGC126063', ' MGC126064', ' APRO1']	BTG2
HGNC:11881	TMSB4X	thymosin beta 4 X-linked	Approved	TMSB4	TB4X	Xp22.2	['TB4X', 'TMSB4']	TMSB4X
HGNC:9346	PRDM1	PR/SET domain 1	Approved	BLIMP1	PRDI-BF1, Blimp-1	6q21	['PRDI-BF1', ' Blimp-1', 'BLIMP1']	PRDM1
HGNC:4570	GRHPR	glyoxylate and hydroxypyruvate reductase	Approved	GLXR, GLYD	PH2	9p13.2	['PH2', 'GLXR', ' GLYD']	GRHPR
HGNC:4932	HLA-B	major histocompatibility complex, class I, B	Approved	AS	HLA.B	6p21.33	['HLA.B', 'AS']	HLA.B
HGNC:16393	CARD11	caspase recruitment domain family member 11	Approved		CARMA1, BIMP3	7p22.2	['CARMA1', ' BIMP3']	CARD11
HGNC:4931	HLA-A	major histocompatibility complex, class I, A	Approved		HLA.A	6p22.1	['HLA.A']	HLA.A
HGNC:21729	IRF2BP2	interferon regulatory factor 2 binding protein 2	Approved		LRIR2, IRF-2BP2	1q42.3	['LRIR2', ' IRF-2BP2']	IRF2BP2
HGNC:16395	OSBPL10	oxysterol binding protein like 10	Approved			3p23	['']	OSBPL10
HGNC:18988	TOX	thymocyte selection associated high mobility group box	Approved		KIAA0808, TOX1	8q12.1	['KIAA0808', ' TOX1']	TOX
HGNC:4933	HLA-C	major histocompatibility complex, class I, C	Approved	HLA-JY3, D6S204, PSORS1	HLA.C	6p21.33	['HLA.C', 'HLA-JY3', ' D6S204', ' PSORS1']	HLA.C
HGNC:8987	PIM2	Pim-2 proto-oncogene, serine/threonine kinase	Approved			Xp11.23	['']	PIM2
HGNC:10768	SF3B1	splicing factor 3b subunit 1	Approved		SAP155, SF3b155, PRPF10, Prp10, Hsh155	2q33.1	['SAP155', ' SF3b155', ' PRPF10', ' Prp10', ' Hsh155']	SF3B1
HGNC:26259	ZC3H12A	zinc finger CCCH-type containing 12A	Approved		FLJ23231, MCPIP1, Regnase-1	1p34.3	['FLJ23231', ' MCPIP1', ' Regnase-1']	ZC3H12A
HGNC:812	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	Approved	ATP2B, DAR	SERCA2	12q24.11	['SERCA2', 'ATP2B', ' DAR']	ATP2A2
HGNC:13221	BCL11A	BCL11 transcription factor A	Approved	EVI9	BCL11A-XL, BCL11A-L, BCL11A-S, CTIP1, HBFQTL5, ZNF856, SMARCM1	2p16.1	['BCL11A-XL', ' BCL11A-L', ' BCL11A-S', ' CTIP1', ' HBFQTL5', ' ZNF856', ' SMARCM1', 'EVI9']	BCL11A
HGNC:6119	IRF4	interferon regulatory factor 4	Approved	MUM1	LSIRF	6p25.3	['LSIRF', 'MUM1']	IRF4
HGNC:6735	LYN	LYN proto-oncogene, Src family tyrosine kinase	Approved		JTK8	8q12.1	['JTK8']	LYN
HGNC:3488	ETS1	ETS proto-oncogene 1, transcription factor	Approved	EWSR2	FLJ10768, ETS-1	11q24.3	['FLJ10768', ' ETS-1', 'EWSR2']	ETS1
