gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q			Legend:	
CCL4	chemokine (C-C motif) ligand 4	287	308	0	0	3	1	0	1	5	4	4	2.30E-04	7.01E-02	2.59E-02	1.56E-05	3.78E-03				
HIST1H2AM	"histone cluster 1, H2am"	393	4	0	10	17	0	0	1	18	17	13	1.18E-04	1.66E-02	9.33E-02	1.59E-05	3.80E-03				
LTB	"lymphotoxin beta (TNF superfamily, member 3)"	747	0	0	7	16	2	9	2	29	20	23	5.25E-06	3.41E-01	2.36E-01	2.32E-05	5.48E-03				
SMEK1	"SMEK homolog 1, suppressor of mek1 (Dictyostelium)"	2558	4	0	0	3	2	1	2	8	8	8	2.00E-05	1	6.20E-02	2.83E-05	6.60E-03				
NANOG	Nanog homeobox	930	18	0	0	4	1	0	1	6	5	4	3.30E-03	4.50E-04	6.69E-01	5.32E-05	1.22E-02				
HLA-DMA	"major histocompatibility complex, class II, DM alpha"	802	331	0	0	4	1	3	0	8	6	8	6.61E-06	1	8.47E-01	8.55E-05	1.94E-02				
SIN3A	"SIN3 homolog A, transcription regulator (yeast)"	4001	10	0	1	9	2	0	1	12	11	12	1.07E-04	1	1.80E-02	1.09E-04	2.46E-02				
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	1578	3	0	4	14	1	2	0	17	15	14	6.07E-03	1.55E-03	9.96E-01	1.39E-04	3.09E-02				
PRKCB	"protein kinase C, beta"	2241	20	0	1	11	0	0	1	12	11	10	2.70E-03	3.10E-03	8.16E-01	1.43E-04	3.14E-02				
PRPS1	phosphoribosyl pyrophosphate synthetase 1	1083	15	0	0	4	0	0	0	4	4	3	2.30E-02	1.55E-02	6.97E-03	1.51E-04	3.26E-02				
PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)	9387	13	0	7	25	1	1	0	27	24	24	1.41E-02	5.00E-04	8.99E-01	1.63E-04	3.49E-02				
TLR2	toll-like receptor 2	2355	34	0	1	9	0	0	0	9	9	7	1.19E-02	9.50E-04	5.30E-01	1.88E-04	3.96E-02				
ZNF423	zinc finger protein 423	3883	0	0	2	5	0	0	0	5	5	5	6.47E-01	1.55E-02	2.20E-04	2.30E-04	4.80E-02				
SF3B1	"splicing factor 3b, subunit 1, 155kDa"	4081	10	0	2	8	1	0	0	9	9	7	5.19E-02	1.68E-03	3.88E-02	2.45E-04	5.05E-02				
CIITA	"class II, major histocompatibility complex, transactivator"	3511	23	0	1	11	0	0	0	11	9	10	9.21E-03	4.40E-02	8.20E-03	2.69E-04	5.49E-02				
NLRP8	"NLR family, pyrin domain containing 8"	3183	11	0	1	7	1	2	0	10	10	9	4.98E-04	1.52E-01	3.50E-02	3.15E-04	6.37E-02				
BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	2624	14	0	3	9	2	0	0	11	10	10	2.10E-02	4.20E-03	2.08E-01	4.01E-04	8.00E-02				
ZEB2	zinc finger E-box binding homeobox 2	3677	20	0	2	5	4	0	5	14	13	14	3.60E-05	1	8.95E-01	4.05E-04	8.00E-02				
GNAI2	"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2"	1249	12	0	1	10	1	0	0	11	10	11	3.72E-05	1	5.09E-01	4.17E-04	8.14E-02				
FUT5	"fucosyltransferase 5 (alpha (1,3) fucosyltransferase)"	1125	21	0	0	4	0	0	0	4	4	4	4.31E-03	1.26E-02	4.48E-01	4.29E-04	8.29E-02				
HIST1H3B	"histone cluster 1, H3b"	411	8	0	3	10	0	0	0	10	10	6	1.26E-01	1.74E-03	1.12E-02	4.49E-04	8.60E-02				
HIST2H2BE	"histone cluster 2, H2be"	381	1	0	11	15	1	0	1	17	14	13	1.74E-04	1.74E-01	2.72E-01	4.75E-04	8.99E-02				
COQ7	"coenzyme Q7 homolog, ubiquinone (yeast)"	680	122	0	0	2	0	0	2	4	4	3	1.13E-03	3.40E-02	9.80E-01	5.07E-04	9.50E-02				
IL6	"interleukin 6 (interferon, beta 2)"	937	50	0	1	4	1	0	1	6	6	6	8.23E-05	1	5.39E-01	5.29E-04	9.82E-02				
KLHL38	kelch-like 38 (Drosophila)	1754	28	0	1	4	0	0	0	4	4	3	9.50E-02	5.00E-04	7.64E-01	5.52E-04	1.01E-01				
PFN1	profilin 1	453	15	0	0	2	0	3	0	5	4	4	1.33E-03	1	8.10E-03	5.73E-04	1.04E-01				
BCLAF1	BCL2-associated transcription factor 1	2803	11	0	0	5	0	1	2	8	8	8	1.28E-04	1	2.29E-01	5.90E-04	1.06E-01				
DCDC2B	doublecortin domain containing 2B	1082	72	0	0	1	0	0	2	3	3	2	1.37E-02	3.80E-03	9.04E-01	6.06E-04	1.08E-01				
TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	2479	122	0	1	5	0	0	1	6	6	3	4.17E-02	8.67E-04	9.37E-01	6.68E-04	1.17E-01				
OR4F17	"olfactory receptor, family 4, subfamily F, member 17"	918	273	0	0	0	0	0	3	3	3	1	6.27E-02	1.00E-03	9.49E-01	6.69E-04	1.17E-01				
BTG2	"BTG family, member 2"	481	0	0	4	17	0	2	0	19	14	19	5.55E-04	1	1.80E-02	6.91E-04	1.20E-01				
DUSP2	dual specificity phosphatase 2	957	0	0	6	14	0	5	1	20	13	13	7.42E-02	1.47E-02	1.36E-02	7.09E-04	1.22E-01				
ABHD14B	abhydrolase domain containing 14B	816	28	0	0	1	0	0	2	3	3	2	3.14E-03	2.00E-02	1	7.30E-04	1.24E-01				
CSNK2B	"casein kinase 2, beta polypeptide"	729	596	0	0	1	2	1	0	4	4	4	7.74E-04	1	3.10E-02	8.39E-04	1.40E-01				
F10	coagulation factor X	1495	28	0	0	5	0	1	1	7	7	7	3.57E-04	1	1.95E-01	8.42E-04	1.40E-01				
DAZAP1	DAZ associated protein 1	1361	6	0	0	0	4	0	0	4	4	4	2.37E-04	1	2.26E-01	8.45E-04	1.40E-01				
FADD	Fas (TNFRSF6)-associated via death domain	631	128	0	0	6	1	0	0	7	5	7	2.11E-03	1	1.11E-02	8.82E-04	1.45E-01				
SRSF7	serine/arginine-rich splicing factor 7	745	6	0	0	4	0	1	0	5	5	4	4.90E-03	3.64E-02	3.61E-01	8.93E-04	1.45E-01				
IL10	interleukin 10	553	73	0	0	4	1	0	0	5	5	5	8.87E-05	1	9.56E-01	9.16E-04	1.47E-01				
IRF1	interferon regulatory factor 1	1010	21	0	0	3	2	0	0	5	5	5	1.69E-03	1	1.24E-02	9.39E-04	1.50E-01				
SLFN5	schlafen family member 5	2691	120	0	1	4	1	0	0	5	5	5	5.26E-02	1.14E-02	9.31E-02	9.72E-04	1.52E-01				
MROH2B		4922	1	0	1	8	0	1	3	12	12	10	1.09E-01	6.67E-04	9.07E-01	9.73E-04	1.52E-01				
POTEH	"POTE ankyrin domain family, member H"	1676	133	0	1	5	0	0	0	5	4	4	9.57E-01	1.00E-04	1.58E-03	9.81E-04	1.52E-01				
MAP2K1	mitogen-activated protein kinase kinase 1	1264	6	0	2	10	0	0	0	10	10	10	4.97E-03	1.03E-01	1.01E-01	1.02E-03	1.57E-01				
PHYH	phytanoyl-CoA 2-hydroxylase	1079	65	0	0	2	0	0	2	4	4	3	1.48E-02	2.19E-02	2.82E-01	1.44E-03	2.20E-01				
SLC34A3	"solute carrier family 34 (sodium phosphate), member 3"	1844	0	0	0	4	2	0	0	6	6	6	3.02E-02	1	2.30E-03	1.50E-03	2.28E-01				
BCL7A	B-cell CLL/lymphoma 7A	716	0	0	5	17	1	0	0	18	15	14	5.68E-02	6.10E-03	9.83E-02	1.55E-03	2.33E-01				
S1PR2	sphingosine-1-phosphate receptor 2	1062	65	0	1	11	0	0	0	11	9	11	1.74E-04	1	4.49E-01	1.68E-03	2.50E-01				
RPS7	ribosomal protein S7	660	97	0	0	4	0	0	1	5	4	5	3.75E-03	4.10E-02	3.03E-01	1.70E-03	2.52E-01				
RND3	Rho family GTPase 3	751	70	0	0	5	0	1	0	6	6	6	2.99E-04	1	3.51E-01	1.76E-03	2.58E-01				
PABPC1	"poly(A) binding protein, cytoplasmic 1"	1965	13	0	1	5	0	0	0	5	5	3	1.71E-02	1.21E-02	9.94E-01	1.96E-03	2.86E-01				
ARHGAP25	Rho GTPase activating protein 25	2340	9	0	4	7	5	2	0	14	13	12	1.50E-03	1.66E-01	4.15E-01	2.01E-03	2.90E-01				
TFAP4	transcription factor AP-4 (activating enhancer binding protein 4)	1041	59	0	0	4	0	0	0	4	4	4	5.52E-03	1	8.30E-03	2.19E-03	3.14E-01				
RSPH10B	radial spoke head 10 homolog B (Chlamydomonas)	2685	41	0	0	1	0	2	0	3	3	2	1.50E-01	1.56E-01	6.80E-03	2.24E-03	3.19E-01				
MSL2	male-specific lethal 2 homolog (Drosophila)	1738	1	0	4	2	1	0	4	7	7	5	2.80E-01	5.67E-04	7.36E-01	2.27E-03	3.19E-01				
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	778	0	0	14	36	0	0	0	36	19	32	1.70E-03	8.90E-02	6.93E-01	2.30E-03	3.19E-01				
C10orf12	chromosome 10 open reading frame 12	3744	0	0	0	4	2	0	3	9	9	9	4.79E-04	1	3.68E-01	2.32E-03	3.19E-01				
RAC2	"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)"	757	101	0	0	5	0	0	0	5	5	4	2.35E-03	9.80E-02	2.64E-01	2.32E-03	3.19E-01				
SEC14L3	SEC14-like 3 (S. cerevisiae)	1412	22	0	0	5	0	0	0	5	5	5	1.94E-03	1	9.90E-02	2.66E-03	3.64E-01				
EIF4A1	"eukaryotic translation initiation factor 4A, isoform 1"	1403	6	0	0	4	1	1	0	6	6	6	2.97E-04	1	2.20E-01	2.71E-03	3.66E-01				
PINX1	"PIN2/TERF1 interacting, telomerase inhibitor 1"	1011	24	0	0	3	0	1	0	4	4	4	5.01E-02	1	2.00E-03	2.74E-03	3.66E-01				
PLA1A	phospholipase A1 member A	1438	83	0	1	4	0	1	0	5	5	5	8.74E-03	1	9.30E-03	2.75E-03	3.66E-01				
LIPC	"lipase, hepatic"	1646	115	0	1	4	1	0	0	5	5	5	4.88E-03	1	3.40E-02	2.75E-03	3.66E-01				
NRBP1	nuclear receptor binding protein 1	1700	75	0	1	4	1	1	0	6	6	6	2.93E-03	1	8.30E-02	2.87E-03	3.78E-01				
HLA-DMB	"major histocompatibility complex, class II, DM beta"	839	8	0	1	4	0	1	2	7	5	7	2.16E-03	1	1.38E-01	2.95E-03	3.85E-01				
CNTRL	centriolin	7160	5	0	0	6	0	1	1	8	8	8	2.41E-03	1	8.20E-02	3.01E-03	3.91E-01				
DDX42	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42	2881	2	0	0	3	3	0	0	6	6	6	3.45E-03	1	5.00E-02	3.07E-03	3.96E-01				
OSGEPL1	O-sialoglycoprotein endopeptidase-like 1	1269	72	0	0	0	0	0	2	2	2	1	3.60E-02	1.00E-02	7.74E-01	3.21E-03	4.11E-01				
CPLX4	complexin 4	532	64	0	0	1	0	0	1	2	2	2	2.65E-02	1	1.00E-02	3.32E-03	4.23E-01				
CTSO	cathepsin O	994	62	0	1	4	1	0	1	6	6	6	1.12E-02	4.60E-02	3.04E-01	3.37E-03	4.26E-01				
SKIV2L2	superkiller viralicidic activity 2-like 2 (S. cerevisiae)	3233	14	0	0	5	0	0	2	7	6	6	1.82E-02	2.10E-02	8.46E-01	3.40E-03	4.26E-01				
C10orf90	chromosome 10 open reading frame 90	2564	41	0	1	5	0	0	1	6	6	5	1.02E-01	6.49E-02	4.90E-03	3.43E-03	4.28E-01				
ID2	"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein"	409	7	0	1	5	1	1	0	7	5	7	1.26E-03	1	2.24E-01	3.46E-03	4.28E-01				
LETM2	leucine zipper-EF-hand containing transmembrane protein 2	1536	51	0	0	4	0	0	1	5	5	5	1.19E-03	1	2.92E-01	3.62E-03	4.45E-01				
TAF1	"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa"	5946	20	0	3	10	1	1	1	13	13	13	1.15E-02	8.00E-02	2.57E-01	3.65E-03	4.45E-01				
BBOX1	"butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1"	1188	89	0	0	5	0	1	1	7	7	7	4.18E-03	1	6.40E-02	3.83E-03	4.65E-01				
ARHGAP9	Rho GTPase activating protein 9	2578	1	0	0	3	1	0	0	4	4	4	1.21E-01	1	1.50E-03	4.00E-03	4.80E-01				
C10orf91	chromosome 10 open reading frame 91	446	512	0	0	0	0	2	0	2	2	1	1.47E-02	8.20E-02	2.23E-01	4.01E-03	4.80E-01				
GRK4	G protein-coupled receptor kinase 4	2152	129	0	1	1	0	0	3	4	4	3	4.60E-02	1.19E-02	6.52E-01	4.10E-03	4.86E-01				
GADD45B	"growth arrest and DNA-damage-inducible, beta"	655	338	0	0	6	0	0	0	6	5	6	1.32E-03	1	2.56E-01	4.12E-03	4.86E-01				
BICC1	bicaudal C homolog 1 (Drosophila)	3113	12	0	0	8	0	2	0	10	10	10	5.23E-04	1	6.89E-01	4.48E-03	5.25E-01				
PIK3R1	"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)"	2381	38	0	1	6	0	4	0	10	8	9	2.67E-02	7.50E-02	1.76E-01	4.55E-03	5.30E-01				
NHLRC4	NHL repeat containing 4	372	360	0	0	1	0	0	1	2	2	2	1.14E-02	1	3.20E-02	4.73E-03	5.48E-01				
IGSF6	"immunoglobulin superfamily, member 6"	746	6	0	1	3	0	0	0	3	3	2	3.44E-02	1.60E-02	2.74E-01	4.94E-03	5.68E-01				
BBS7	Bardet-Biedl syndrome 7	2223	14	0	0	3	1	1	0	5	5	5	4.62E-03	1	1.17E-01	5.06E-03	5.78E-01				
ZSCAN31		1229	87	0	0	2	0	0	1	3	3	3	4.65E-02	1	2.70E-03	5.09E-03	5.78E-01				
RANGAP1	Ran GTPase activating protein 1	1908	101	0	1	1	0	0	2	3	3	2	1.91E-01	3.20E-03	1.00E+00	5.13E-03	5.78E-01				
LRRC66	leucine rich repeat containing 66	2655	30	0	0	6	0	0	0	6	6	6	3.74E-02	1.45E-02	8.95E-01	5.15E-03	5.78E-01				
CDC42	"cell division cycle 42 (GTP binding protein, 25kDa)"	864	0	0	1	6	0	0	0	6	6	4	1.78E-01	2.60E-03	9.28E-01	5.23E-03	5.81E-01				
SYNJ2	synaptojanin 2	4831	56	0	4	2	2	0	1	5	5	5	2.82E-01	1	5.67E-04	5.27E-03	5.81E-01				
DNAJC17	"DnaJ (Hsp40) homolog, subfamily C, member 17"	955	224	0	0	5	0	0	0	5	5	4	4.85E-03	1.11E-01	8.66E-01	5.28E-03	5.81E-01				
HLA-DQA2	"major histocompatibility complex, class II, DQ alpha 2"	780	41	0	0	3	0	0	0	3	3	3	8.85E-03	1	5.90E-02	5.39E-03	5.90E-01				
