cytoband	1p36.32	6p21.33	15q15.3	6q23.3	19p13.3	18q23	3p21.31	2q22.2	14q32.31	10q23.31	6q21	9p21.3	16q12.1	6q14.3	8q12.1	19p13.2	4q21.22	6q14.1	13q14.2	1p13.1	1p36.11	13q34	12p13.2	3q28	1q42.12	17q25.1	4q35.1	1p31.1	17p11.2	9q21.13	19q13.32	17q24.1	16p13.3	2p22.2	7q31.31	5p15.31	8p23.3	13q12.12	5q33.3	11q24.3	5q35.3	12q24.11	
	GABRD	C4B	EPB42		TRIP10	SALL3	RHOA		ANKRD9	PAPSS2	GPR6	IFNA4	CES1	TPBG			SCARB2		RB1	IGSF3	HMGN2	F7	PRB1	BDH1	ACTA1	MIF4GD	SLC25A4		NCOR1	hsa-mir-4289	BLOC1S3		MEFV	ACP1	hsa-mir-335	CDH12	ANGPT2	FGF9	hsa-mir-584	hsa-mir-1261	GRK6	hsa-mir-135a-2	
	GNB1	CLIC1	GANC		SH2D3A	RBFA	SLC25A20		MIR4309	MINPP1	GRIK2	IFNA5	CETP	TTK			CDS1		SUCLA2	NGF	STMN1	F10	PRB3	CPN2	ACTN2	SLC25A19	ANXA2P1		ARHGAP44	hsa-mir-7-1			OR1F1	ADCY3	hsa-mir-183	CDH18	DEFA1	FLT1	ADRA1B	hsa-mir-3166	GRM6	hsa-mir-1251	
	PEX10	ATF6B	GCHFR		TUBB4A	PQLC1	CAMP			FAM35A	POU3F2	IFNA6	CNGB1	RNGTT			DMP1		DLEU2	NHLH2	PAFAH2	FGF14	PRB4	DLG1	PARP1	ARMC7	CASP3		HS3ST3B1	hsa-mir-204			OR2C1	ALK	hsa-mir-129-1	CTNND2	DEFA3	FLT3	ADRB2	hsa-mir-4300	HK3	hsa-mir-331	
	PRKCZ	CSNK2B	PDIA3		GPR108	PARD6G	CDC25A			RNLS	PREP	IFNA7	CSNK2A2	TBX18			DSPP		ITM2B	NRAS	RPS6KA1	GAS6	PRH1	FGF12	ADSS	NUP85	LRBA		HS3ST3A1	hsa-mir-1299			PMM2	APOB	hsa-mir-593	DAP	DEFA4	GJA3	ANXA6	hsa-mir-708	HNRNPAB	hsa-mir-492	
	SCNN1D	CYP21A2	ITPKA		SLC25A23	ATP9B	COL7A1			STAMBPL1	SIM1	IFNA8	CYLD	SNAP91			FGF5		LPAR6	PTGFRN	SLC9A1	ING1	PRH2	GP5	AGT	LOC100287042	CLCN3		TRIM16	ALDH1A1			PPL	RHOB	hsa-mir-592	DNAH5	DEFA5	GJB2	ATOX1	ACAT1	HRH2	hsa-mir-618	
	SKI	CYP21A1P	LTK		ZNF557	HSBP1L1	DAG1			ATAD1	SMPD2	IFNA10	GNAO1	SYNCRIP			GK2		TRIM13	SYCP1	SLC30A2	LAMP1	GPRC5A	HES1	ARF1	MIR3678	CPE		TTC19	ALDH1B1			SRL	ZFP36L2	ABP1	MTRR	DEFA6	GPR12	CAMK2A	ACRV1	MSX2	hsa-mir-617	
	TP73	DOM3Z	MAP1A		DENND1C	LOC100130522	CELSR3			ANKRD22	NR2E1	IFNA13	GOT2	SLC35A1			GRID2		DLEU1	TSHB	ARID1A	LIG4	PRR4	IL1RAP	CAPN2		CTSO		ZNF286A	ANXA1			TCEB2	CAD	AKR1B1	MYO10	DEFB1	GTF3A	CCNG1	BIRC2	PROP1	hsa-mir-1252	
	TNFRSF4	HLA-B	MFAP1		CRB3		GPX1			LIPJ	DDO	IFNA14	KIFC3	KIAA1009			HNRNPD		FNDC3A	CSDE1	NR0B2	PCCA	TAS2R9	LPP	CHML		DCTD		ELAC2	APBA1			TFAP4	CENPA	ARF5	NDUFS6	DEFB4A	HMGB1	CD74	BIRC3	SLC34A1	hsa-mir-1279	
	MMP23B	HLA-C	RAD51		MBD3L2		IMPDH2			CFL1P1	SNX3	IFNA16	MMP2	DOPEY1			HSP90AB3P		MED4	TTF2	FCN3	GRK1	TAS2R13	MFI2	LYST		EDNRA		TEKT3	AUH			ZNF75A	CYP1B1	OPN1SW	PMCHL1	CLN8	PDX1	CDX1	APLP2	SNCB	ACACB	
	MMP23A	HLA-DMB	SORD		SLC25A41		LAMB2			LIPM	CD164	IFNA17	MMP15	ZNF292			IBSP		PHF11	CD101	MAP3K6	SLC10A2	TAS2R10	MUC4	CHRM3		ETFDH		MGC12916	KLF9			ZNF174	DDX1	BPGM	SDHA	MSRA	MIPEP	CSF1R	APOA1	ZNF354A	ACADS	
	TNFRSF14	HLA-DOB	SPINT1		MBD3L5		MAP4			LOC439994	WASF1	IFNA21	MT1A	ORC3			CXCL10		RCBTB1	TSPAN2	WASF2	SOX1	TAS2R14	OPA1	EPHX1		F11		CDRT7	CKS2			ZNF200	DNMT3A	BRAF	SLC6A3	TNKS	PABPC3	CSNK1A1	APOA4	PDLIM7	ALDH2	
	TNFRSF18	HLA-DQA1	TP53BP1		EMR4P		MST1			LIPK	ATG5	IFNA22P	MT1B	IBTK			CXCL9		NUDT15	BCAS2	CNKSR1	TFDP1	HEBP1	PAK2	EPRS		ACSL1		CDRT15P1	COL15A1			ZNF205	DTNB	CALD1	SLC9A3	MYOM2	UBL3	SLC26A2	APOC3	ADAMTS2	APAF1	
	ISG15	HLA-DQA2	TYRO3		FLJ25758		MST1R			LIPN	ZBTB24	IFNB1	MT1E	SNORD50A			AFF1		CYSLTR2	AP4B1	NUDC	TPP2	DDX47	PCYT1A	FH		FAT1		ZSWIM7	CTSL1			ZNF213	E2F6	CALU	SRD5A1	DLGAP2	RFC3	EBF1	ARCN1	RGS14	ARL1	
	PLCH2	HLA-DQB1	EIF3J		MBD3L4		PFKFB4			FAM22A	FIG4	IFNW1	MT1F	CYB5R4			NKX6-1		SPRYD7	PHTF1	WDTC1	ZIC2	MANSC1	PPP1R2	GALNT2		FGA		CDRT15	CTSL2			USP7	FKBP1B	CAPZA2	TERT	MFHAS1	RNF6	FABP6	ATM	CPLX2	ASCL1	
	CEP104	HLA-DQB2	JMJD7-PLA2G4B		MBD3L3		PLXNB1			FAM22D	ASCC3	MTAP	MT1G	AKIRIN2			PKD2		RNASEH2B	MAN1A2	AHDC1	CUL4A	GPRC5D	RPL35A	GNG4		FGB		FAM18B2	CTSL1P8			CLDN6	FOSL2	CASP2	TRIO	ARHGEF10	RPL21	FAT2	FXYD2	LMAN2	ATP2A2	
	SLC35E2	HLA-DRA	SNAP23				PRKAR2A			LOC728190	BVES	C9orf53	MT1H	AKIRIN2-AS1			PPEF2		CDADC1	PTPN22	ZNF593	IRS2	KIAA1467	SST	GUK1		FGG		CENPV	DAPK1			CLDN9	FTH1P3	CAV1	SEMA5A	KBTBD11	SGCG	GABRA1	CXCR5	B4GALT7	ATP2B1	
	RER1	HLA-DRB1	TGM5				QARS			LOC728218	SEC63	KIAA1797	MT1JP	FAM46A			PRKG2		CAB39L	TRIM33	GPN2	PROZ	BCL2L14	TFRC	H3F3A		FRG1		CDRT4	ECM2			PKMYT1	GCKR	CAV2	TRIP13	SPAG11B	SLC7A1	GABRA6	CASP1	RNF44	BCL7A	
	NOC2L	HLA-DRB5	PPIP5K1				SMARCC1			KLLN	CDK19	KLHL9	MT1M	RARS2			MAPK10		SETDB2	RSBN1	AIM1L	ARHGEF7	DUSP16	TP63	HLX		GK3P		TBC1D26	S1PR3			DNAJA3	GTF3C2	CDK5	PDCD6	FBXO25	TUBA3C	GABRB2	CASP4	N4BP3	BTG1	
	OR4F3	HLA-DRB6	LCMT2				TCTA			FAS-AS1	PNISR	DMRTA1	MT1L	C6orf162			PTPN13		EBPL	SLC22A15	PIGV	CDC16	APOLD1	CLDN1	HNRNPU		GLRB		CDRT1	FANCC			IL32	HADHA	CFTR	MARCH6	PINX1	ZMYM2	GABRG2	CASP5	FAF2	SCARB1	
	ARHGEF16	HSPA1A	SERF2				UBA7			MIR4679-1	FBXL4	TUSC1	MT1X	SNX14			CXCL11		ARL11	OLFML3	GPATCH3	ITGBL1	GSG1	KIAA0226	ITPKB		GPM6A		CDRT15P2	FBP1			SEC14L5	HADHB	CHRM2	BASP1	AGPAT5	IFT88	GLRA1	CBL	ZNF346	CMKLR1	
	SSU72	HSPA1B	CHP				USP4			MIR4679-2	SESN1	IFNE	MT2A	C6orf164			SNCA		ST13P4	DCLRE1B	CEP85	TUBGCP3	HTR7P1	TNK2	KCNK1		GRIA2		MIR1288	FOXE1			ZNF263	HPCAL1	CLCN1	SLC12A7	DEFB103B	MTMR6	GM2A	CD3D	TSPAN17	COX6A1	
	WRAP73	HSPA1L	OIP5				UQCRC1			MIR4678	OSTM1	PTPLAD2	MT3	SPACA1			SPP1		DLEU7	VTCN1	LIN28A	TNFSF13B	LOH12CR1	CLDN16	LBR		GUCY1A3		FAM18B2-CDRT4	FXN			TRAP1	ID2	CPA1	PAPD7	CSMD1	ZMYM5	GPX3	CD3E	PRELID1	CPM	
	SDF4	LTA	MAPKBP1				BSN				C6orf203	MIR31	PHKB	UBE2CBP			SPARCL1		FAM124A	SIKE1	FAM110D	RASA3	TAS2R43	NCBP2	LGALS8		GUCY1B3		MIR4731	GAS1			PRSS21	KCNF1	CPA2	TPPP	MTMR9	KL	GRIA1	CD3G	ZNF354C	CRY1	
	MXRA8	LTB	RTF1				IP6K1				CDC40	FLJ35282	POLR2C	MRAP2			USO1		CTAGE10P	TRIM45	DHDDS	MYO16	TAS2R31	ACAP2	MARK1		HMGB2			GCNT1			CLUAP1	KCNK3	DPP6	EXOC3	MCPH1	NUPL1	HMMR	CTSC	DDX41	CSRP2	
	CPSF3L	MICB	MGA				RBM6				COQ3	MIR31HG	RBL2	RWDD2A			HERC3		KCNRG	VANGL1	SH3BGRL3	ATP11A	TAS2R46	UBXN7	MTR		HPGD			GNAQ			MGRN1	KCNS3	EN2	CCT5	PPP1R3B	FRY	NDST1	CHEK1	NOP16	DAO	
	C1orf159	MSH5	VPS39				NME6				SOBP	MIR491	SALL1	RIPPLY2			STBD1		MIR15A	ATP1A1OS	TMEM222	MCF2L	TAS2R30	PIGX	NID1		HSP90AA4P			HNRNPK			SRRM2	KHK	EPHA1	FBXL7	SOX7	USPL1	HTR4	CRYAB	HMP19	DCN	
	AURKAIP1	NEU1	CCNDBP1				TRAIP				QRSL1	CDKN2B-AS1	CCL17	C6orf165			CDKL2		MIR16-1	MAB21L3	ZDHHC18	BIVM	TAS2R19	LEPREL1	NVL		ING2			HSD17B3			CARHSP1	KIF3C	EPHB6	KIAA0947	ERI1	SAP18	IL12B	DDX6	UIMC1	EPYC	
	MRPL20	NFKBIL1	C15orf63				ARIH2				PDSS2	LOC100506422	CCL22	PRSS35			ABCG2		MIR3613	SYT6	TRIM63	TMCO3	TAS2R20	LSG1	PSEN2		IRF2			IARS			TMEM186	LTBP1	EZH2	PP7080	RP1L1	N4BP2L2	ITK	DDX10	RAB24	DTX1	
	ATAD3A	NOTCH4	TMEM87A				CSPG5				HACE1	MIR4474	CX3CL1	C6orf163			G3BP2			DENND2C	SYTL1	ARGLU1	TAS2R50	HRASLS	RAB4A		KLKB1			NCBP1			ZNF500	MATN3	FLNC	IRX4	CLDN23	GJB6	MFAP3	DLAT	FAM193B	DUSP6	
	PANK4	PBX2	RPAP1				USP19				BEND3		SIAH1	GJB7			HNRPDL			HIPK1	UBXN11	DCUN1D2	LOC338817	RTP4	RGS7		SMAD1			NFIL3			OR1F2P	MPV17	GBX1	TAS2R1	DEFB104A	HSPH1	PDE6A	DLG2	TMED9	EIF2B1	
	TP73-AS1	POU5F1	TUBGCP4				WDR6				PRDM13		SLC6A2	SNHG5			FAM13A			MAGI3	FAM46B	ANKRD10	TAS2R42	ATP13A3	RYR2		NR3C2			NINJ1			C16orf72	MYCN	GPR37	FAM134B	LOC157273	WASF3	PDGFRB	DPAGT1	CDHR2	ELK3	
	LRRC47	PSMB8	EHD4				TREX1				POPDC3		SLC12A3	SNORD50B			CXCL13			BCL2L15	C1orf172	RAB20	RPL13AP20	PIGZ	SRP9		MTNR1A			NTRK2			UBN1	ODC1	GRM8	FAM105A	SGK223	PDS5B	RPS14	DRD2	NHP2	STX2	
	HES4	PSMB9	NDUFAF1				DHX30				MICAL1		GPR56				HPSE			LOC643441	PDIK1L	CARKD	LOH12CR2	IQCG	AURKAPS1		NEK1			ROR2			C16orf5	VIT	MNX1	NSUN2	LOC157627	MTUS2	SGCD	ETS1	KIAA1191	GOLGA3	
	PRDM16	RNF5	NUSAP1				SCAP				ARMC2		N4BP1				CCNI			MIR942	PAQR7	PCID2	PRB2	ATP13A4	TARBP1		NPY1R			OMD			PAM16	POMC	HTR5A	CEP72	C8orf42	SACS	SLC6A7	FDX1	CLK4	GTF2H3	
	VWA1	SKIV2L	SPTBN5				LAMB2P1				RPF2		NUP93				SEC31A			LOC100287722	FAM76A	UPF3A	MIR613	FYTTD1	TBCE		NPY2R			OGN			NAGPA	PPM1G	IFRD1	ANKH	ERICH1	LATS2	SPARC	FLI1	NSD1	HAL	
	NADK	TAP1	CTDSPL2				KLHL18				MCHR2		HERPUD1				MMRN1			MIR320B1	ZNF683	KDELC1	MIR614	MGC2889	TGFB2		NPY5R			PCSK5			TNFRSF12A	PPP1CB	IMPDH1	PRDM9	ZNF596	SNORD102	TCOF1	FUT4	GMCL1P1	HPD	
	MMEL1	TAP2	DLL4				NDUFAF3				FAXC		IRX5				WDFY3				CATSPER4	CARS2	LOC100129361	LRCH3	LEFTY2		PET112			PGM5			RBFOX1	EIF2AK2	INSIG1	AHRR	DEFT1P	POLR1D	TTC1	SLC37A4	RMND5B	IFNG	
	OR4F5	TCF19	INO80				PTPN23				RTN4IP1		DNAJA2				PARM1				TRNP1	GRTP1	MIR1244-1	CEP19	TLR5		PLRG1			PHF2			ZNF434	RPS7	IRF5	MRPL36	PRSS55	CRYL1	ADAM19	GRIA4	DOK3	IGF1	
	LINC00115	TNF	PPP1R14D				GMPPB				USP45		KATNB1				RCHY1				CD164L2	TMTC4	MIR1244-3	LMLN	GPR137B		POU4F2			PRKACG			HCFC1R1	RRM2	KCND2	BRD9	C8orf74	POMP	PTTG1	GRIK4	ZFP2	KCNC2	
	MORN1	TNXA	HAUS2				SHISA5				SLC22A16		ZNF267				NAAA				LOC644961	ABHD13	MIR1244-2	TMEM44	TP53BP2		PPID			PTCH1			ALG1	SDC1	KCNH2	FASTKD3	DEFB105A	ATP8A2	CNOT8	GRM5	PRR7	LTA4H	
	GLTPD1	TNXB	FAM82A2				CCDC72				GTF3C6		NUDT21				COQ2				MIR1976	ZIC5	LOC100506314	TM4SF19	TSNAX		RPS3A			RORB			NMRAL1	SRSF7	KEL	IRX1	DEFB106A	IL17D	HAND1	GUCY1A2	MXD3	LUM	
	OR4F16	VARS	DNAJC17				ZNF589				SLC16A10		CNOT1				MRPS18C				MIR3917	A2LD1	PRH1-PRR4	ZDHHC19	WNT9A		MSMO1			SYK			PRSS22	SLC8A1	LEP	ZDHHC11	DEFB107A	MPHOSPH8	MED7	H2AFX	THOC3	LYZ	
	CCNL2	PRRC2A	CASC5				IP6K2				BVES-AS1		ZNF423				COPS4					TEX30		LRRC15	ZNF124		SFRP2			TGFBR1			MMP25	SOS1	DNAJB9	LPCAT1	FLJ10661	PSPC1	CLINT1	HMBS	AGXT2L2	MDM2	
	TAS1R3	BAG6	STARD9				NCKIPSD				CCDC162P		RPGRIP1L				HSD17B11					ADPRHL1		FAM43A	HIST3H3		TDO2			TLE1			METTL22	SOX11	MEST	CLPTM1L	XKR6	TNFRSF19	G3BP1	HSPA8	UNC5A	KITLG	
	ATAD3B	GPANK1	VPS18				P4HTM				AKD1		ARL2BP				HERC5					TEX29		TMEM207	GNPAT		TLL1			TLE4			THOC6	SPAST	MET	ROPN1L	LOC286083	CENPJ	TNIP1	HSPB2	COL23A1	MMP17	
	PLEKHN1	DDX39B	ZFP106				C3orf75				LACE1		ORC6				PLAC8					METTL21CP1		MB21D2	CDC42BPA		TLR2			TMOD1			KREMEN2	SRD5A2	MKLN1	MED10	LOC349196	RNF17	SLU7	HTR3A	SFXN1	MSI1	
	C1orf170	ABHD16A	CHAC1				QRICH1				MMS22L		TP53TG3				NUDT9					SPACA7		XXYLT1	DEGS1		TLR3			CORO2A			CORO7	STRN	NDUFA5	NKD2	XKR5	XPO4	C5orf4	IL10RA	GPRIN1	MVK	
	KIAA1751	RDBP	WDR76				DALRD3				SCML4		DKFZP434H168				NUP54					CLYBL		CCDC50	KMO		VEGFC			XPA			ROGDI	ADAM17	NDUFB2	FAM105B	MIR124-1	MRP63	FAM114A2	IL18	ZNF354B	MYBPC1	
	LOC115110	LST1	TMEM62				RNF123				CEP57L1		TOX3				HERC6					METTL21C		PYDC2	TAF1A		GLRA3			ZFAND5			NAA60	TPO	NOS3	ZNF622	DEFB103A	KATNAL1	SPINK5	STT3A	C5orf47	MYF5	
	ACAP3	STK19	SPG11				CCDC71				PPIL6		CCDC113				SDAD1					NALCN		LOC152217	EXO1		SORBS2			NR4A3			ATF7IP2	TSSC1	CNOT4	C5orf55	OR4F21	C13orf33	SOX30	KCNJ1	HIGD2A	MYF6	
	UBE2J2	PPT2	ELL3				SLC26A6				LINC00222		C16orf80				BMP2K					DAOA		RNF168	GGPS1		SAP30			PIP5K1B			MGC3771	UCN	NRF1	CCDC127	FAM90A13	STARD13	SYNPO	KCNJ5	FAM153B	MYL2	
	PUSL1	AGPAT1	ZFYVE19				CAMKV				LIN28B		BRD7				SEPT11					DAOA-AS1		OSTalpha	TMEM63A		SNORD73A			CDC14B			FLYWCH1	VSNL1	PAX4	UBE2QL1	FAM90A5	N4BP2L1	ABLIM3	VWA5A	LOC202181	PPP1R12A	
	B3GALT6	C6orf10	FRMD5				CCDC51				GSTM2P1		PLLP				MEPE					FGF14-IT1		FBXO45	TOMM20		LRAT			FBP2			NUDT16L1	XDH	PIP	C5orf49	FAM90A7	TPTE2	HMGXB3	MCAM	EIF4E1B	NAP1L1	
	TPRG1L	HCP5	CASC4				ATRIP				LOC728012		AHSP				PRDM8					LOC283481		MUC20	URB2		HAND2			FAM189A2			SLX4	SLC30A3	PODXL	FAM173B	FAM90A8	CG030	ATP10B	MLL	FAM153A	NFYB	
	FAM213B	EHMT2	TGM7				NICN1				C6orf186		CES1P1				KLHL8					LINC00346		SENP5	CEP170		RAPGEF2			TJP2			GLYR1	PXDN	PPP1R3A	CMBL	FAM90A18	RXFP2	LARP1	MMP1	ARL10	NOS1	
	ACTRT2	DDAH2	CATSPER2				MON1A				LOC100130890		LPCAT2				SHROOM3					CHAMP1		LOC220729	AKT3		MFAP3L			GABBR2			GLIS2	KLF11	PRSS1	PLEKHG4B	FAM90A9	TEX26	GEMIN5	MMP3	ZNF454	CNOT2	
	MIB2	SNORD52	PLA2G4E				UCN2				MIR2113		HEATR3				ENOPH1					FAM70B		TCTEX1D2	BPNT1		MAB21L2			GDA			ZSCAN10	MAP4K3	PRSS2	C5orf38	FAM90A10	B3GALTL	CCDC69	MMP7	LOC340037	NTS	
	SAMD11	SNORD48	TRIM69				KLHDC8B				MIR548H3		SLC38A7				MRPL1					C13orf35		C3orf43	ZNF238		ADAM29			GNA14			TIGD7	NCOA1	TAS2R38	IRX2	DEFA10P	EEF1DP3	HAVCR1	MMP8	PFN3	OAS1	
	LOC148413	C6orf48	C15orf43				FBXW12				LOC100422737		OGFOD1				THAP9					FLJ44054		SDHAP1	LEFTY1		LSM6			TRIM14			FLYWCH2	ASAP2	PTN	ADAMTS16	DEFB107B	FAM123A	CYFIP2	MMP10	ZNF879	OAS2	
	CCDC27	APOM	ZSCAN29				CCDC36						DOK4				SCD5					CCDC168		UTS2D	SPHAR		ANXA10			SEMA4D			VASN	SLC5A6	PTPRN2	LOC255167	DEFB104B	USP12	IL17B	MMP12	C5orf25	OAS3	
	CALML6	BTNL2	TTBK2				C3orf62						VPS35				FRAS1					FLJ41484		TPRG1	CAPN9		KLHL2			ANP32B			ZG16B	EIF2B4	PTPRZ1	LOC285577	DEFB106B	MTIF3	MAT2B	MMP13	FLJ16171	P2RX4	
	C1orf86	LSM2	CDAN1				AMIGO3						COQ9				ARHGAP24					LINC00460		LPP-AS2	SDCCAG8		SCRG1			SPTLC1			PRSS30P	TAF1B	RARRES2	LOC285692	DEFB105B	GSX1	MRPL22	MRE11A	LOC643201	P2RX7	
	ATAD3C	C6orf47	STRC				CDHR4						CIAPIN1				FAM175A					FAM155A		RTP2	DUSP10		DUX4			GADD45G			PAQR4	COX7A2L	RHEB	LOC285696	DEFB109P1B	N6AMT2	DCTN4	MTNR1B	FAM153C	PEBP1	
	LOC254099	LY6G5B	ADAL				FAM212A						ZNF319				NAA11					LINC00552		OSTN	COG2		PALLD			SPIN1			ANKS3	ITGB1BP1	SHH	SLC6A19	RPL23AP53	SKA3	THG1L	NCAM1	LOC728554	PAH	
	TTLL10	LY6G6D	EXD1				MIR191						NOD2				AGPAT9					MCF2L-AS1		ATP13A5	RBM34		KIAA0922			SEC61B			FAM100A	OTOF	SLC4A2	LOC340094	FAM90A14	EFHA1	GALNT10	NFRKB	AACSP1	PAWR	
